 Time Density Volume Pressure Temperature "Kin. Energy" Box-X Box-Y Box-Z
0.0 0.0 688.873291015625 138.14529418945312 -791.5167846679688 498.6904296875 59535.265625 5.169462203979492 5.169462203979492 5.169462203979492
20.0 20.0 708.0615844726562 134.40159606933594 -133.85430908203125 452.1655578613281 53980.9765625 5.1223368644714355 5.1223368644714355 5.1223368644714355
40.0 40.0 711.834228515625 133.6892852783203 -158.7083282470703 448.4354553222656 53535.6640625 5.113271713256836 5.113271713256836 5.113271713256836
60.0 60.0 718.6652221679688 132.41854858398438 199.6852569580078 454.6533508300781 54277.9765625 5.097019195556641 5.097019195556641 5.097019195556641
80.0 80.0 728.0471801757812 130.71214294433594 -527.2095947265625 446.2291259765625 53272.265625 5.075030326843262 5.075030326843262 5.075030326843262
100.0 100.0 725.5020751953125 131.17068481445312 -324.4075927734375 451.2908020019531 53876.546875 5.080957889556885 5.080957889556885 5.080957889556885
120.0 120.0 728.0732421875 130.70745849609375 -411.2424011230469 453.8271179199219 54179.33984375 5.07496976852417 5.07496976852417 5.07496976852417
140.0 140.0 733.1932373046875 129.79470825195312 1.945526123046875 452.1434326171875 53978.3359375 5.06312894821167 5.06312894821167 5.06312894821167
160.0 160.0 718.359130859375 132.4749755859375 -45.35649490356445 448.0512390136719 53489.79296875 5.097743034362793 5.097743034362793 5.097743034362793
180.0 180.0 712.65673828125 133.5349884033203 254.62408447265625 450.73486328125 53810.17578125 5.111303806304932 5.111303806304932 5.111303806304932
200.0 200.0 727.5270385742188 130.8055877685547 896.75830078125 450.44671630859375 53775.77734375 5.076239585876465 5.076239585876465 5.076239585876465
220.0 220.0 734.001220703125 129.65184020996094 -522.2013549804688 456.9630126953125 54553.7109375 5.061270713806152 5.061270713806152 5.061270713806152
240.0 240.0 732.8280029296875 129.85940551757812 -381.3662109375 451.7624206542969 53932.84375 5.06397008895874 5.06397008895874 5.06397008895874
260.0 260.0 722.9698486328125 131.63011169433594 -531.3005981445312 449.1259765625 53618.1015625 5.086883068084717 5.086883068084717 5.086883068084717
280.0 280.0 723.0225219726562 131.6205291748047 -114.3890151977539 458.2655944824219 54709.21875 5.086759567260742 5.086759567260742 5.086759567260742
300.0 300.0 724.0519409179688 131.4333953857422 -1477.6768798828125 446.4259948730469 53295.76953125 5.084347724914551 5.084347724914551 5.084347724914551
320.0 320.0 729.1556396484375 130.513427734375 7.126605987548828 450.7604064941406 53813.2265625 5.072457313537598 5.072457313537598 5.072457313537598
340.0 340.0 721.8460693359375 131.8350372314453 -415.6709289550781 452.46417236328125 54016.625 5.089521408081055 5.089521408081055 5.089521408081055
360.0 360.0 728.5560913085938 130.62083435058594 288.687255859375 452.29833984375 53996.82421875 5.073848247528076 5.073848247528076 5.073848247528076
380.0 380.0 726.3682861328125 131.01426696777344 -77.5650863647461 450.7691955566406 53814.2734375 5.078937530517578 5.078937530517578 5.078937530517578
400.0 400.0 725.181884765625 131.22860717773438 -866.4332885742188 450.56463623046875 53789.8515625 5.081705570220947 5.081705570220947 5.081705570220947
420.0 420.0 721.9920043945312 131.8083953857422 -524.9751586914062 452.1900329589844 53983.8984375 5.089178562164307 5.089178562164307 5.089178562164307
440.0 440.0 732.0017700195312 130.0059814453125 403.55029296875 449.8301696777344 53702.171875 5.0658745765686035 5.0658745765686035 5.0658745765686035
460.0 460.0 732.6864624023438 129.88449096679688 -682.7440795898438 451.0474548339844 53847.4921875 5.064296245574951 5.064296245574951 5.064296245574951
480.0 480.0 724.7523193359375 131.30638122558594 4.000376224517822 446.08697509765625 53255.296875 5.082709312438965 5.082709312438965 5.082709312438965
500.0 500.0 722.3944091796875 131.73497009277344 -416.5304260253906 447.2603759765625 53395.37890625 5.088233470916748 5.088233470916748 5.088233470916748
520.0 520.0 724.02490234375 131.4383087158203 -320.8164978027344 450.2801208496094 53755.88671875 5.084411144256592 5.084411144256592 5.084411144256592
540.0 540.0 725.6043701171875 131.15219116210938 -581.5192260742188 452.34039306640625 54001.84765625 5.080718994140625 5.080718994140625 5.080718994140625
560.0 560.0 729.3245239257812 130.48321533203125 -215.23768615722656 445.6324462890625 53201.03125 5.072065830230713 5.072065830230713 5.072065830230713
580.0 580.0 739.8898315429688 128.61996459960938 -499.2876892089844 455.70623779296875 54403.67578125 5.047807693481445 5.047807693481445 5.047807693481445
600.0 600.0 729.9605102539062 130.36952209472656 889.088134765625 450.3666076660156 53766.2109375 5.070592403411865 5.070592403411865 5.070592403411865
620.0 620.0 723.8466186523438 131.47067260742188 221.1061248779297 450.0853576660156 53732.63671875 5.0848283767700195 5.0848283767700195 5.0848283767700195
640.0 640.0 722.88916015625 131.64480590820312 841.5065307617188 450.4149475097656 53771.984375 5.087072372436523 5.087072372436523 5.087072372436523
660.0 660.0 721.02880859375 131.98446655273438 461.9532165527344 451.3277282714844 53880.953125 5.0914435386657715 5.0914435386657715 5.0914435386657715
680.0 680.0 722.631591796875 131.6917266845703 -318.3571472167969 439.6466064453125 52486.42578125 5.087676525115967 5.087676525115967 5.087676525115967
700.0 700.0 724.5645751953125 131.3404083251953 272.8732604980469 446.9490051269531 53358.20703125 5.08314847946167 5.08314847946167 5.08314847946167
720.0 720.0 724.308837890625 131.38677978515625 -104.63985443115234 442.4908142089844 52825.97265625 5.083746433258057 5.083746433258057 5.083746433258057
740.0 740.0 724.2813110351562 131.3917694091797 -188.8976287841797 451.4943542480469 53900.84765625 5.083810806274414 5.083810806274414 5.083810806274414
