#  iFrame          Time(ps)     <Ree^2>(A^2)     stdRee^2(A^2)     <Ree^2>/M(molnm2/kg)
#======================================================================================
       157        157.000     10007.10         0.00       16.665
       158        158.000     14393.21         0.00       23.969
       159        159.000     11210.71         0.00       18.669
       160        160.000     29779.88         0.00       49.592
       161        161.000      7499.63         0.00       12.489
       162        162.000     19911.75         0.00       33.159
       163        163.000      7272.77         0.00       12.111
       164        164.000      8889.25         0.00       14.803
       165        165.000      9330.23         0.00       15.537
       166        166.000     14806.76         0.00       24.657
       167        167.000      6092.13         0.00       10.145
       168        168.000      5760.03         0.00        9.592
       169        169.000      8152.67         0.00       13.576
       170        170.000     14094.40         0.00       23.471
       171        171.000      1313.81         0.00        2.188
       172        172.000       792.91         0.00        1.320
       173        173.000       650.28         0.00        1.083
       174        174.000     15282.02         0.00       25.449
       175        175.000     11200.80         0.00       18.652
       176        176.000     28188.23         0.00       46.941
       177        177.000     18252.22         0.00       30.395
       178        178.000      7209.27         0.00       12.005
       179        179.000     27268.61         0.00       45.410
       180        180.000      6862.09         0.00       11.427
       181        181.000     25235.34         0.00       42.024
       182        182.000      5327.17         0.00        8.871
       183        183.000      6262.00         0.00       10.428
       184        184.000      2365.18         0.00        3.939
       185        185.000      9015.38         0.00       15.013
       186        186.000     25033.18         0.00       41.687
       187        187.000     10531.20         0.00       17.537
       188        188.000     31049.68         0.00       51.706
       189        189.000      4564.61         0.00        7.601
       190        190.000      5781.25         0.00        9.627
       191        191.000     15909.97         0.00       26.495
       192        192.000      5258.58         0.00        8.757
       193        193.000      1986.05         0.00        3.307
       194        194.000      8165.06         0.00       13.597
       195        195.000      8537.38         0.00       14.217
       196        196.000      1483.77         0.00        2.471
       197        197.000      2629.69         0.00        4.379
       198        198.000     27670.90         0.00       46.080
       199        199.000      2767.66         0.00        4.609
       200        200.000      5230.73         0.00        8.711
       201        201.000      6802.64         0.00       11.328
       202        202.000      6272.36         0.00       10.445
       203        203.000     19183.66         0.00       31.946
       204        204.000     10200.93         0.00       16.987
       205        205.000     53144.58         0.00       88.501
       206        206.000     11121.58         0.00       18.521
       207        207.000      8212.39         0.00       13.676
       208        208.000      9294.24         0.00       15.477
       209        209.000     10338.58         0.00       17.217
       210        210.000     15011.37         0.00       24.998
       211        211.000      6334.11         0.00       10.548
       212        212.000      2412.90         0.00        4.018
       213        213.000     22197.80         0.00       36.966
       214        214.000       977.19         0.00        1.627
       215        215.000     14652.99         0.00       24.401
       216        216.000      3694.67         0.00        6.153
       217        217.000      7688.83         0.00       12.804
       218        218.000      5409.05         0.00        9.008
       219        219.000     11020.49         0.00       18.352
       220        220.000      7702.02         0.00       12.826
       221        221.000     12437.17         0.00       20.711
       222        222.000     24357.03         0.00       40.561
       223        223.000     11250.26         0.00       18.735
       224        224.000       665.55         0.00        1.108
       225        225.000      4522.24         0.00        7.531
       226        226.000      4186.78         0.00        6.972
       227        227.000      1716.74         0.00        2.859
       228        228.000      6723.56         0.00       11.197
       229        229.000      6061.00         0.00       10.093
       230        230.000     16633.71         0.00       27.700
       231        231.000     10351.74         0.00       17.239
       232        232.000      5664.62         0.00        9.433
       233        233.000     18896.76         0.00       31.468
       234        234.000      8959.74         0.00       14.920
       235        235.000     19994.97         0.00       33.297
       236        236.000     13583.57         0.00       22.620
       237        237.000     10199.16         0.00       16.984
       238        238.000       662.40         0.00        1.103
       239        239.000     10868.92         0.00       18.100
       240        240.000      3221.93         0.00        5.365
       241        241.000     15884.09         0.00       26.451
       242        242.000     13435.06         0.00       22.373
       243        243.000     10353.98         0.00       17.242
       244        244.000     15771.03         0.00       26.263
       245        245.000      3357.47         0.00        5.591
       246        246.000     11023.25         0.00       18.357
       247        247.000      4257.20         0.00        7.089
       248        248.000      4605.45         0.00        7.669
       249        249.000     33074.46         0.00       55.078
       250        250.000      9116.18         0.00       15.181
       251        251.000      5006.06         0.00        8.336
       252        252.000      4400.40         0.00        7.328
       253        253.000     12753.38         0.00       21.238
       254        254.000      2735.73         0.00        4.556
       255        255.000      4863.73         0.00        8.099
       256        256.000     41699.31         0.00       69.441
       257        257.000     22917.37         0.00       38.164
       258        258.000      5332.66         0.00        8.880
       259        259.000      6607.06         0.00       11.003
       260        260.000      8837.86         0.00       14.718
       261        261.000      5441.91         0.00        9.062
       262        262.000       226.56         0.00        0.377
       263        263.000     12341.74         0.00       20.552
       264        264.000     20138.06         0.00       33.535
       265        265.000     15236.50         0.00       25.373
       266        266.000     30155.26         0.00       50.217
       267        267.000     13432.57         0.00       22.369
       268        268.000     27040.72         0.00       45.030
       269        269.000      1284.04         0.00        2.138
       270        270.000     18825.61         0.00       31.350
       271        271.000      7790.51         0.00       12.973
       272        272.000     28082.53         0.00       46.765
       273        273.000      6007.78         0.00       10.005
       274        274.000      7510.37         0.00       12.507
       275        275.000     27224.31         0.00       45.336
       276        276.000      2821.12         0.00        4.698
       277        277.000      1602.91         0.00        2.669
       278        278.000      5065.74         0.00        8.436
       279        279.000      9544.42         0.00       15.894
       280        280.000       618.76         0.00        1.030
       281        281.000     12964.27         0.00       21.589
       282        282.000     15795.69         0.00       26.304
       283        283.000      2989.76         0.00        4.979
       284        284.000      7668.42         0.00       12.770
       285        285.000     25361.55         0.00       42.234
       286        286.000     16746.63         0.00       27.888
       287        287.000      5845.21         0.00        9.734
       288        288.000      3796.69         0.00        6.323
       289        289.000     13368.39         0.00       22.262
       290        290.000     24184.09         0.00       40.273
       291        291.000      7018.66         0.00       11.688
       292        292.000     18255.91         0.00       30.401
       293        293.000     11501.22         0.00       19.153
       294        294.000      2355.65         0.00        3.923
       295        295.000     12279.69         0.00       20.449
       296        296.000      4807.35         0.00        8.006
       297        297.000     21975.30         0.00       36.595
       298        298.000      1519.42         0.00        2.530
       299        299.000     15558.00         0.00       25.908
       300        300.000     17913.23         0.00       29.831
       301        301.000      5662.11         0.00        9.429
       302        302.000     13887.81         0.00       23.127
       303        303.000      2373.14         0.00        3.952
       304        304.000      6516.78         0.00       10.852
       305        305.000      4085.79         0.00        6.804
       306        306.000      2740.38         0.00        4.563
       307        307.000       991.71         0.00        1.651
       308        308.000      1490.60         0.00        2.482
       309        309.000      5878.94         0.00        9.790
       310        310.000     22145.92         0.00       36.879
       311        311.000     20218.34         0.00       33.669
       312        312.000      4469.34         0.00        7.443
       313        313.000     19307.02         0.00       32.152
       314        314.000     15340.45         0.00       25.546
       315        315.000      1023.65         0.00        1.705
       316        316.000     26648.79         0.00       44.378
       317        317.000     10001.47         0.00       16.655
       318        318.000      7037.82         0.00       11.720
       319        319.000      4589.39         0.00        7.643
       320        320.000      7761.27         0.00       12.925
       321        321.000     25629.90         0.00       42.681
       322        322.000      4167.48         0.00        6.940
       323        323.000     21045.55         0.00       35.047
       324        324.000      3505.92         0.00        5.838
       325        325.000      8234.55         0.00       13.713
       326        326.000      3500.70         0.00        5.830
       327        327.000     26701.28         0.00       44.465
       328        328.000     11785.71         0.00       19.626
       329        329.000      6680.16         0.00       11.124
       330        330.000     16038.89         0.00       26.709
       331        331.000     25887.89         0.00       43.111
       332        332.000      5981.60         0.00        9.961
       333        333.000      6544.96         0.00       10.899
       334        334.000      8604.12         0.00       14.328
       335        335.000      9147.44         0.00       15.233
       336        336.000      2163.61         0.00        3.603
       337        337.000     18483.35         0.00       30.780
       338        338.000       432.45         0.00        0.720
       339        339.000     18445.70         0.00       30.717
       340        340.000     15711.68         0.00       26.164
       341        341.000     10776.27         0.00       17.945
       342        342.000      4980.65         0.00        8.294
       343        343.000      3418.03         0.00        5.692
       344        344.000     12834.78         0.00       21.373
       345        345.000      1172.04         0.00        1.952
       346        346.000     18257.83         0.00       30.404
       347        347.000     10323.13         0.00       17.191
       348        348.000      2134.09         0.00        3.554
       349        349.000     10494.00         0.00       17.475
       350        350.000      6697.48         0.00       11.153
       351        351.000     12030.64         0.00       20.034
       352        352.000      6058.50         0.00       10.089
       353        353.000     11073.84         0.00       18.441
       354        354.000     25213.27         0.00       41.987
       355        355.000      5094.28         0.00        8.483
       356        356.000      6997.59         0.00       11.653
       357        357.000       755.36         0.00        1.258
       358        358.000      7036.88         0.00       11.718
       359        359.000      4597.39         0.00        7.656
       360        360.000     13420.00         0.00       22.348
       361        361.000      6829.48         0.00       11.373
       362        362.000      8171.45         0.00       13.608
       363        363.000      8894.35         0.00       14.812
       364        364.000      2800.16         0.00        4.663
       365        365.000     40015.97         0.00       66.638
       366        366.000      2954.20         0.00        4.920
       367        367.000     26615.01         0.00       44.321
       368        368.000     32756.82         0.00       54.549
       369        369.000     13668.34         0.00       22.762
       370        370.000     22061.71         0.00       36.739
       371        371.000      5017.40         0.00        8.355
       372        372.000      6929.71         0.00       11.540
       373        373.000     21276.56         0.00       35.431
       374        374.000     23220.46         0.00       38.669
       375        375.000     15507.11         0.00       25.824
       376        376.000     40714.39         0.00       67.801
       377        377.000     18961.54         0.00       31.576
       378        378.000      4422.36         0.00        7.364
       379        379.000      8518.75         0.00       14.186
       380        380.000      5839.49         0.00        9.724
       381        381.000     22297.81         0.00       37.132
       382        382.000      3295.90         0.00        5.489
       383        383.000      9459.93         0.00       15.753
       384        384.000     17408.61         0.00       28.990
       385        385.000     13053.47         0.00       21.738
       386        386.000      7308.41         0.00       12.171
       387        387.000     10837.54         0.00       18.048
       388        388.000     40223.00         0.00       66.983
       389        389.000     10654.55         0.00       17.743
       390        390.000      5225.18         0.00        8.701
       391        391.000      5527.38         0.00        9.205
       392        392.000      8561.12         0.00       14.257
       393        393.000     10141.49         0.00       16.888
       394        394.000      8138.62         0.00       13.553
       395        395.000     29324.33         0.00       48.833
       396        396.000      1261.36         0.00        2.101
       397        397.000     28820.41         0.00       47.994
       398        398.000     14579.44         0.00       24.279
       399        399.000      3400.93         0.00        5.663
       400        400.000      5180.88         0.00        8.628
       401        401.000      3049.17         0.00        5.078
       402        402.000     15273.87         0.00       25.435
       403        403.000     16648.77         0.00       27.725
       404        404.000     11371.67         0.00       18.937
       405        405.000      3830.10         0.00        6.378
       406        406.000     32238.74         0.00       53.686
       407        407.000       872.32         0.00        1.453
       408        408.000     25387.98         0.00       42.278
       409        409.000     16313.54         0.00       27.167
       410        410.000     23075.68         0.00       38.427
       411        411.000     10009.32         0.00       16.668
       412        412.000      3857.43         0.00        6.424
       413        413.000      7727.16         0.00       12.868
       414        414.000     13518.60         0.00       22.512
       415        415.000      3053.05         0.00        5.084
       416        416.000      1282.63         0.00        2.136
       417        417.000      8227.49         0.00       13.701
       418        418.000      8272.20         0.00       13.776
       419        419.000     33177.73         0.00       55.250
       420        420.000     13382.71         0.00       22.286
       421        421.000      2276.54         0.00        3.791
       422        422.000      2842.10         0.00        4.733
       423        423.000      8335.77         0.00       13.881
       424        424.000     34388.71         0.00       57.267
       425        425.000      6874.48         0.00       11.448
       426        426.000      7164.60         0.00       11.931
       427        427.000      1665.11         0.00        2.773
       428        428.000     16618.51         0.00       27.674
       429        429.000     13813.68         0.00       23.004
       430        430.000     25833.88         0.00       43.021
       431        431.000     19869.22         0.00       33.088
       432        432.000     13443.99         0.00       22.388
       433        433.000     29409.78         0.00       48.975
       434        434.000       921.12         0.00        1.534
       435        435.000     18057.62         0.00       30.071
       436        436.000     15693.03         0.00       26.133
       437        437.000     37338.18         0.00       62.178
       438        438.000       659.60         0.00        1.098
       439        439.000      1234.24         0.00        2.055
       440        440.000     23190.46         0.00       38.619
       441        441.000     25704.35         0.00       42.805
       442        442.000     16270.21         0.00       27.094
       443        443.000     12969.34         0.00       21.598
       444        444.000      7977.65         0.00       13.285
       445        445.000      1170.83         0.00        1.950
       446        446.000     11753.04         0.00       19.572
       447        447.000      9186.23         0.00       15.298
       448        448.000     15721.75         0.00       26.181
       449        449.000      5017.03         0.00        8.355
       450        450.000     10739.74         0.00       17.885
       451        451.000      7565.69         0.00       12.599
       452        452.000      1995.58         0.00        3.323
       453        453.000      4651.79         0.00        7.747
       454        454.000      9305.16         0.00       15.496
       455        455.000     17741.18         0.00       29.544
       456        456.000     13613.08         0.00       22.670
       457        457.000      6877.10         0.00       11.452
       458        458.000      4313.25         0.00        7.183
       459        459.000      3170.87         0.00        5.280
       460        460.000      7558.25         0.00       12.587
       461        461.000      6031.21         0.00       10.044
       462        462.000     17951.94         0.00       29.895
       463        463.000     30354.95         0.00       50.549
       464        464.000     15637.92         0.00       26.041
       465        465.000      2375.31         0.00        3.956
       466        466.000      6235.11         0.00       10.383
       467        467.000      2637.72         0.00        4.393
       468        468.000     11536.74         0.00       19.212
