#  Number of backbone atoms:500.0, calc_distances:True, lavg :1.5413478552416318
#  iFrame          Time(ps)     <Ree^2>/nl^2     6.0*<Rg^2>/nl^2      Cn_formula
#===============================================================================
       163        163.000         6.14        12.76          0.00
       164        164.000         7.51         7.07          0.00
       165        165.000         7.88        10.45          0.00
       166        166.000        12.51        15.38          0.00
       167        167.000         5.15         7.00          0.00
       168        168.000         4.85         6.95          0.00
       169        169.000         6.86         9.62          0.00
       170        170.000        11.92        10.18          0.00
       171        171.000         1.11         3.05          0.00
       172        172.000         0.67         2.96          0.00
       173        173.000         0.55         3.24          0.00
       174        174.000        12.88        10.88          0.00
       175        175.000         9.44         8.16          0.00
       176        176.000        23.78        12.63          0.00
       177        177.000        15.42        16.84          0.00
       178        178.000         6.07         6.25          0.00
       179        179.000        23.05        23.53          0.00
       180        180.000         5.79         6.41          0.00
       181        181.000        21.30        15.69          0.00
       182        182.000         4.49         4.04          0.00
       183        183.000         5.29         8.11          0.00
       184        184.000         2.00         4.60          0.00
       185        185.000         7.60         7.00          0.00
       186        186.000        21.17        19.00          0.00
       187        187.000         8.88         9.70          0.00
       188        188.000        26.16        17.54          0.00
       189        189.000         3.84         5.33          0.00
       190        190.000         4.87         6.57          0.00
       191        191.000        13.41         9.07          0.00
       192        192.000         4.44         4.03          0.00
       193        193.000         1.68         4.98          0.00
       194        194.000         6.89         4.25          0.00
       195        195.000         7.19         9.21          0.00
       196        196.000         1.25         3.27          0.00
       197        197.000         2.22         6.36          0.00
       198        198.000        23.34        16.13          0.00
       199        199.000         2.34         4.74          0.00
       200        200.000         4.41         6.43          0.00
       201        201.000         5.73         6.63          0.00
       202        202.000         5.29         4.97          0.00
       203        203.000        16.19         9.86          0.00
       204        204.000         8.62         9.24          0.00
       205        205.000        44.87        29.00          0.00
       206        206.000         9.40        14.74          0.00
       207        207.000         6.93         6.49          0.00
       208        208.000         7.84         6.28          0.00
       209        209.000         8.69         5.53          0.00
       210        210.000        12.66        12.52          0.00
       211        211.000         5.33         8.77          0.00
       212        212.000         2.03         7.76          0.00
       213        213.000        18.67        16.00          0.00
       214        214.000         0.82         7.45          0.00
       215        215.000        12.35        12.59          0.00
       216        216.000         3.11         4.89          0.00
       217        217.000         6.49         5.62          0.00
       218        218.000         4.58         5.32          0.00
       219        219.000         9.30         7.70          0.00
       220        220.000         6.50         7.80          0.00
       221        221.000        10.50        11.93          0.00
       222        222.000        20.51        14.72          0.00
       223        223.000         9.49         8.25          0.00
       224        224.000         0.56         5.31          0.00
       225        225.000         3.81         6.47          0.00
       226        226.000         3.52         3.91          0.00
       227        227.000         1.45         4.75          0.00
       228        228.000         5.68         5.56          0.00
       229        229.000         5.10         7.93          0.00
       230        230.000        14.00         6.55          0.00
       231        231.000         8.71         4.21          0.00
       232        232.000         4.77         3.18          0.00
       233        233.000        15.95         9.36          0.00
       234        234.000         7.56         8.34          0.00
       235        235.000        16.86        12.19          0.00
       236        236.000        11.44         8.41          0.00
       237        237.000         8.62         8.23          0.00
       238        238.000         0.56         2.46          0.00
       239        239.000         9.15         6.11          0.00
       240        240.000         2.72         6.27          0.00
       241        241.000        13.38         7.20          0.00
       242        242.000        11.34         8.32          0.00
       243        243.000         8.76         9.80          0.00
       244        244.000        13.35        12.70          0.00
       245        245.000         2.83         5.73          0.00
       246        246.000         9.29         6.75          0.00
       247        247.000         3.60         6.59          0.00
       248        248.000         3.88         3.41          0.00
       249        249.000        27.88        21.90          0.00
       250        250.000         7.68         7.97          0.00
       251        251.000         4.23         5.26          0.00
       252        252.000         3.71         9.30          0.00
       253        253.000        10.77        11.03          0.00
       254        254.000         2.31         4.65          0.00
       255        255.000         4.10        11.43          0.00
       256        256.000        35.24        19.93          0.00
       257        257.000        19.34        18.16          0.00
       258        258.000         4.50         6.36          0.00
       259        259.000         5.58         7.41          0.00
       260        260.000         7.49         4.86          0.00
       261        261.000         4.60         2.86          0.00
       262        262.000         0.19         2.92          0.00
       263        263.000        10.45         6.00          0.00
       264        264.000        17.00        19.12          0.00
       265        265.000        12.85        10.36          0.00
       266        266.000        25.47        20.26          0.00
       267        267.000        11.32        16.90          0.00
       268        268.000        22.82        14.84          0.00
       269        269.000         1.08         1.78          0.00
       270        270.000        15.88        11.05          0.00
       271        271.000         6.58        10.64          0.00
       272        272.000        23.68        21.40          0.00
       273        273.000         5.07         8.73          0.00
       274        274.000         6.33         8.76          0.00
       275        275.000        22.98        21.01          0.00
       276        276.000         2.38         2.95          0.00
       277        277.000         1.35         6.89          0.00
       278        278.000         4.28         4.45          0.00
       279        279.000         8.06        10.08          0.00
       280        280.000         0.52         3.69          0.00
       281        281.000        10.92        10.97          0.00
       282        282.000        13.31         8.28          0.00
       283        283.000         2.52         6.43          0.00
       284        284.000         6.46        12.11          0.00
       285        285.000        21.45        14.12          0.00
       286        286.000        14.13        15.39          0.00
       287        287.000         4.92         8.19          0.00
       288        288.000         3.20         4.46          0.00
       289        289.000        11.27         5.98          0.00
       290        290.000        20.41        12.10          0.00
       291        291.000         5.93         6.73          0.00
       292        292.000        15.42         8.70          0.00
       293        293.000         9.72        11.67          0.00
       294        294.000         1.99         4.21          0.00
       295        295.000        10.35        18.59          0.00
       296        296.000         4.06         8.22          0.00
       297        297.000        18.56        15.16          0.00
       298        298.000         1.28         4.02          0.00
       299        299.000        13.10        12.24          0.00
       300        300.000        15.11         8.69          0.00
       301        301.000         4.78         5.03          0.00
       302        302.000        11.76        12.21          0.00
       303        303.000         2.01         4.60          0.00
       304        304.000         5.50        11.95          0.00
       305        305.000         3.45         6.08          0.00
       306        306.000         2.31         4.34          0.00
       307        307.000         0.84         3.34          0.00
       308        308.000         1.26         4.96          0.00
       309        309.000         4.95         4.35          0.00
       310        310.000        18.71        11.03          0.00
       311        311.000        17.08        12.02          0.00
       312        312.000         3.77         7.74          0.00
       313        313.000        16.31        13.53          0.00
       314        314.000        12.96         8.34          0.00
       315        315.000         0.86         5.20          0.00
       316        316.000        22.48        13.13          0.00
       317        317.000         8.42         6.73          0.00
       318        318.000         5.93         7.18          0.00
       319        319.000         3.86         3.60          0.00
       320        320.000         6.55         8.76          0.00
       321        321.000        21.60         9.90          0.00
       322        322.000         3.51         4.97          0.00
       323        323.000        17.75        12.12          0.00
       324        324.000         2.96         5.63          0.00
       325        325.000         6.92         6.22          0.00
       326        326.000         2.96         4.09          0.00
       327        327.000        22.52        24.35          0.00
       328        328.000         9.90         6.54          0.00
       329        329.000         5.64         8.56          0.00
       330        330.000        13.50        14.84          0.00
       331        331.000        21.81        16.10          0.00
       332        332.000         5.04         3.14          0.00
       333        333.000         5.50         6.55          0.00
       334        334.000         7.25         8.11          0.00
       335        335.000         7.73         8.14          0.00
       336        336.000         1.83         5.92          0.00
       337        337.000        15.57         7.29          0.00
       338        338.000         0.36         2.45          0.00
       339        339.000        15.56         6.69          0.00
       340        340.000        13.24        12.54          0.00
       341        341.000         9.09         5.61          0.00
       342        342.000         4.20         8.14          0.00
       343        343.000         2.89         6.45          0.00
       344        344.000        10.84         7.92          0.00
       345        345.000         0.99        10.71          0.00
       346        346.000        15.38         6.56          0.00
       347        347.000         8.69        11.76          0.00
       348        348.000         1.80         6.29          0.00
       349        349.000         8.86         9.19          0.00
       350        350.000         5.67         4.84          0.00
       351        351.000        10.18        16.04          0.00
       352        352.000         5.11        11.04          0.00
       353        353.000         9.36         8.49          0.00
       354        354.000        21.21        11.49          0.00
       355        355.000         4.27         6.00          0.00
       356        356.000         5.90         5.44          0.00
       357        357.000         0.64         6.36          0.00
       358        358.000         5.94         4.99          0.00
       359        359.000         3.88         6.18          0.00
       360        360.000        11.34         8.59          0.00
       361        361.000         5.78         6.18          0.00
       362        362.000         6.89         8.98          0.00
       363        363.000         7.52         6.87          0.00
       364        364.000         2.36         5.37          0.00
       365        365.000        33.67        17.13          0.00
       366        366.000         2.49         7.25          0.00
       367        367.000        22.39        18.25          0.00
       368        368.000        27.62        18.43          0.00
       369        369.000        11.50        10.77          0.00
       370        370.000        18.60        13.85          0.00
       371        371.000         4.23         9.98          0.00
       372        372.000         5.85         6.99          0.00
       373        373.000        17.94         9.17          0.00
       374        374.000        19.56        20.55          0.00
       375        375.000        13.07         9.33          0.00
       376        376.000        34.29        18.81          0.00
       377        377.000        16.00        11.06          0.00
       378        378.000         3.74         8.10          0.00
       379        379.000         7.18         4.01          0.00
       380        380.000         4.92         7.14          0.00
       381        381.000        18.81        11.74          0.00
       382        382.000         2.77         6.31          0.00
       383        383.000         7.96         8.83          0.00
       384        384.000        14.68        11.21          0.00
       385        385.000        11.00         7.14          0.00
       386        386.000         6.16         5.33          0.00
       387        387.000         9.13         8.80          0.00
       388        388.000        33.86        20.51          0.00
       389        389.000         8.99         8.54          0.00
       390        390.000         4.41         5.56          0.00
       391        391.000         4.66         6.25          0.00
       392        392.000         7.22         6.54          0.00
       393        393.000         8.53         6.64          0.00
       394        394.000         6.83         8.79          0.00
       395        395.000        24.67        18.57          0.00
       396        396.000         1.06         3.74          0.00
       397        397.000        24.34        19.27          0.00
       398        398.000        12.29        10.65          0.00
       399        399.000         2.87         2.85          0.00
       400        400.000         4.37         8.11          0.00
       401        401.000         2.58         4.14          0.00
       402        402.000        12.91         8.43          0.00
       403        403.000        14.09        11.32          0.00
       404        404.000         9.63         6.60          0.00
       405        405.000         3.23         4.52          0.00
       406        406.000        27.22        18.71          0.00
       407        407.000         0.74         1.69          0.00
       408        408.000        21.42        13.34          0.00
       409        409.000        13.76        10.48          0.00
       410        410.000        19.44         9.67          0.00
       411        411.000         8.45         8.45          0.00
       412        412.000         3.26         6.01          0.00
       413        413.000         6.52         6.53          0.00
       414        414.000        11.40         8.80          0.00
       415        415.000         2.57         6.41          0.00
       416        416.000         1.08         8.42          0.00
       417        417.000         6.94         3.66          0.00
       418        418.000         6.96         6.76          0.00
       419        419.000        27.94        16.12          0.00
       420        420.000        11.25        11.34          0.00
       421        421.000         1.92        10.07          0.00
       422        422.000         2.39         3.84          0.00
       423        423.000         7.04         9.73          0.00
       424        424.000        29.03        14.65          0.00
       425        425.000         5.82         4.10          0.00
       426        426.000         6.06         8.23          0.00
       427        427.000         1.40         4.16          0.00
       428        428.000        14.00        12.81          0.00
       429        429.000        11.67        15.41          0.00
       430        430.000        21.75        18.63          0.00
       431        431.000        16.78        10.17          0.00
       432        432.000        11.35        10.04          0.00
       433        433.000        24.90        14.25          0.00
       434        434.000         0.78         4.13          0.00
       435        435.000        15.23         9.75          0.00
       436        436.000        13.23         9.61          0.00
       437        437.000        31.53        19.58          0.00
       438        438.000         0.56         2.89          0.00
       439        439.000         1.04         5.69          0.00
       440        440.000        19.55        12.18          0.00
       441        441.000        21.68        16.99          0.00
       442        442.000        13.71        11.54          0.00
       443        443.000        10.98        10.94          0.00
       444        444.000         6.73         9.02          0.00
       445        445.000         0.99         5.43          0.00
       446        446.000         9.90         6.56          0.00
       447        447.000         7.73         6.33          0.00
       448        448.000        13.23        15.22          0.00
       449        449.000         4.22         3.44          0.00
       450        450.000         9.06         4.27          0.00
       451        451.000         6.37         7.86          0.00
       452        452.000         1.68         3.48          0.00
       453        453.000         3.93         3.69          0.00
       454        454.000         7.85         7.83          0.00
       455        455.000        14.95         8.46          0.00
       456        456.000        11.47        13.99          0.00
       457        457.000         5.79         6.07          0.00
       458        458.000         3.64         3.06          0.00
       459        459.000         2.67         3.87          0.00
       460        460.000         6.38         8.75          0.00
