                 Frame        <R^2>                    Cn
               100000   5547.4468567862059        4.6876066661795557     
               200000   3757.1657765470245        3.1748146119757008     
               300000   8768.6145054056688        7.4095015003912943     
               400000   12594.552325667675        10.642428663760034     
               500000   28219.929549603963        23.845912054843335     
               600000   123.01782257785993       0.10395037213730879     
               700000   46544.728279384603        39.330413465981216     
               800000   13195.766650347159        11.150456293213141     
               900000   5878.3770275451598        4.9672434999406470     
              1000000   22249.430883939294        18.800825537006965     
              1100000   14972.245054328592        12.651585050965982     
              1200000   609.50841047996573       0.51503615299410233     
              1300000   23488.603842043292        19.847929830011932     
              1400000   10387.035469048833        8.7770713201143664     
              1500000   6038.5719066136007        5.1026085791194467     
              1600000   17032.786622663247        14.392747903179648     
              1700000   7251.8301517859809        6.1278148739594052     
              1800000   4148.6579548577492        3.5056264957455379     
              1900000   11756.997645835540        9.9346928346789181     
              2000000   1053.5512491236047       0.89025347805038713     
              2100000   1969.3939888814766        1.6641429163618826     
              2200000   2642.5668247353842        2.2329756702943619     
              2300000   5076.4169677013379        4.2895852150424467     
              2400000   8040.5746769289299        6.7943059985115530     
              2500000   18632.293570559199        15.744335331617188     
              2600000   13837.732892098940        11.692919395967632     
              2700000   3082.0701935651391        2.6043571318426522     
              2800000   1589.3452815932590        1.3430007946346891     
              2900000   11253.041606460885        9.5088487030232542     
              3000000   4154.4337336481767        3.5105070434748535     
              3100000   2192.6151349211495        1.8527653510099551     
              3200000   8114.6920025446425        6.8569353266700741     
              3300000   6624.3335441565441        5.5975786487433830     
              3400000   20755.519674135619        17.538466775121854     
              3500000   7356.6540830107051        6.2163913617509143     
              3600000   5885.9761227908202        4.9736647546998363     
              3700000   11157.435555436334        9.4280613473838653     
              3800000   1122.6205744610215       0.94861723316849700     
              3900000   9857.8602250787299        8.3299168966020485     
              4000000   3620.1652581810627        3.0590488264275746     
              4100000   21187.281877904632        17.903306932556823     
              4200000   5801.4238694443802        4.9022178861385948     
              4300000   6449.2191936890858        5.4496065783862253     
              4400000   1189.7888369879711        1.0053745853893408     
              4500000   1207.4041252555016        1.0202595486600639     
              4600000   8406.4678368579480        7.1034866468118798     
              4700000   1683.6908636727667        1.4227230508180864     
              4800000   5420.6524151659660        4.5804650413712951     
              4900000   11015.590949096293        9.3082022952096590     
              5000000   15822.262014333553        13.369851538406170     
              5100000   4117.9639003934853        3.4796899418617002     
              5200000   580.90252143938278       0.49086410419031923     
              5300000   13967.886946391194        11.802899902006065     
              5400000   22958.399671178267        19.399905960663329     
              5500000   2831.5794392382518        2.3926918090171334     
              5600000   4689.1087782576815        3.9623088124787960     
              5700000   4986.7879949953340        4.2138485057442718     
              5800000   1745.7116144535794        1.4751307425557638     
              5900000   12854.763129495666        10.862307453070811     
              6000000   10369.667308363441        8.7623951802774389     
              6100000   10706.047538264758        9.0466373278389778     
              6200000   11410.201987243387        9.6416496234528299     
              6300000   24523.367422231095        20.722307680152927     
              6400000   7853.1762238628762        6.6359538302975283     
              6500000   10366.072795981690        8.7593578081966665     
              6600000   7385.5273094074109        6.2407893112987747     
              6700000   11510.850800689361        9.7266981261302838     
              6800000   8223.3358084034444        6.9487396182172434     
              6900000   19061.303224893658        16.106849577797576     
              7000000   6376.0869960381669        5.3878096858569275     
              7100000   13018.847332367548        11.000959020729558     
              7200000   2171.3931593718548        1.8348327278370662     
              7300000   28302.821294065972        23.915955789185027     
              7400000   64055.792759727068        54.127307372146099     
