           IFrame     Ebond           Eangle         Etors             Eimpr                ELJ                     Ecoul              ETot                Move           Flip         RotStrand        RotBranch       FlpBranch                 Time
        3300000     244.6270847     210.0126551     418.5611483       0.0000000           -33.3386399             0.0000000           839.8622482       7.4561842      17.7716869      33.5721395       0.0000000       0.0000000               169.581
        3400000     203.8310266     200.1449429     403.0475647       0.0000000           -38.4843822             0.0000000           768.5391519       7.4483542      17.7771259      33.5744932       0.0000000       0.0000000               174.727
        3500000     237.2680668     240.2645895     425.1555185       0.0000000           -34.4428639             0.0000000           868.2453109       7.4586069      17.7713693      33.5774719       0.0000000       0.0000000               179.854
        3600000     219.4013316     222.2289829     404.0445686       0.0000000           -38.2171409             0.0000000           807.4577422       7.4602584      17.7564554      33.5833930       0.0000000       0.0000000               184.975
        3700000     220.7224407     239.9714988     424.7773682       0.0000000           -38.3951087             0.0000000           847.0761990       7.4574550      17.7680282      33.5772988       0.0000000       0.0000000               190.081
        3800000     227.5985039     218.9945333     432.4396462       0.0000000           -39.3686036             0.0000000           839.6640799       7.4659158      17.7597787      33.5805077       0.0000000       0.0000000               195.221
        3900000     217.7218944     239.9728454     416.1328704       0.0000000           -38.9725065             0.0000000           834.8551037       7.4568301      17.7515656      33.5789094       0.0000000       0.0000000               200.378
        4000000     232.3465454     210.5303500     398.3445629       0.0000000           -34.6410109             0.0000000           806.5804474       7.4536673      17.7758380      33.5809880       0.0000000       0.0000000               205.502
        4100000     237.6763203     230.0611207     411.8596361       0.0000000           -38.6728068             0.0000000           840.9242703       7.4513395      17.7733662      33.5876109       0.0000000       0.0000000               210.619
        4200000     244.4121852     207.7288790     390.8324193       0.0000000           -41.1802056             0.0000000           801.7932778       7.4459813      17.7684567      33.5886118       0.0000000       0.0000000               215.765
        4300000     229.5207359     228.9054860     428.2822637       0.0000000           -38.9251252             0.0000000           847.7833604       7.4377938      17.7792936      33.5813202       0.0000000       0.0000000               220.908
        4400000     245.1224618     207.0049628     411.0528698       0.0000000           -41.1004735             0.0000000           822.0798211       7.4406247      17.7720512      33.5868375       0.0000000       0.0000000               226.034
        4500000     226.3450282     215.1556677     415.5692796       0.0000000           -38.9154793             0.0000000           818.1544962       7.4262685      17.7773883      33.5854466       0.0000000       0.0000000               231.172
        4600000     226.6915066     192.4693351     375.7249311       0.0000000           -37.3875576             0.0000000           757.4982152       7.4342666      17.7696892      33.5910431       0.0000000       0.0000000               236.300
        4700000     233.9196178     251.1664477     434.3733081       0.0000000           -38.0014934             0.0000000           881.4578802       7.4346575      17.7695103      33.5876609       0.0000000       0.0000000               241.429
        4800000     206.9318761     231.1591234     404.8937847       0.0000000           -40.6635484             0.0000000           802.3212358       7.4385857      17.7698392      33.5902857       0.0000000       0.0000000               246.588
        4900000     229.6386166     193.5509620     412.5388638       0.0000000           -36.3247935             0.0000000           799.4036490       7.4369417      17.7861211      33.5868463       0.0000000       0.0000000               251.723
        5000000     221.7461432     194.1158423     422.0998148       0.0000000           -34.8477470             0.0000000           803.1140532       7.4279561      17.7698785      33.5796965       0.0000000       0.0000000               256.860
        5100000     234.4875278     216.4547606     405.9366765       0.0000000           -37.4778228             0.0000000           819.4011421       7.4187091      17.7644281      33.5808597       0.0000000       0.0000000               262.014
        5200000     211.4053877     179.8136483     413.3951127       0.0000000           -40.6620642             0.0000000           763.9520845       7.4195866      17.7784003      33.5874580       0.0000000       0.0000000               267.147
        5300000     195.8437757     226.8202469     373.8664249       0.0000000           -38.9482849             0.0000000           757.5821625       7.4220539      17.7701510      33.5802952       0.0000000       0.0000000               272.301
        5400000     216.1365161     211.7679624     396.5520931       0.0000000           -38.7033687             0.0000000           785.7532028       7.4192606      17.7638811      33.5792572       0.0000000       0.0000000               277.419
        5500000     222.1768703     217.0038709     411.6610573       0.0000000           -36.0410922             0.0000000           814.8007064       7.4208035      17.7744205      33.5731532       0.0000000       0.0000000               282.567
        5600000     236.5078977     238.7840115     396.1235828       0.0000000           -41.4927055             0.0000000           829.9227865       7.4351021      17.7745001      33.5788583       0.0000000       0.0000000               287.701
        5700000     243.9754901     223.8662330     401.9493220       0.0000000           -37.8457669             0.0000000           831.9452782       7.4359819      17.7777000      33.5787552       0.0000000       0.0000000               292.835
        5800000     236.0004758     208.7107989     403.7239048       0.0000000           -40.7868680             0.0000000           807.6483115       7.4384819      17.7835933      33.5785607       0.0000000       0.0000000               297.977
        5900000     228.0967434     236.9613513     403.5934202       0.0000000           -38.9277073             0.0000000           829.7238077       7.4349342      17.7844819      33.5779365       0.0000000       0.0000000               303.137
        6000000     203.8605812     224.2696555     421.4187511       0.0000000           -39.9935412             0.0000000           809.5554466       7.4405837      17.7834760      33.5802248       0.0000000       0.0000000               308.277
        6100000     211.9505573     206.7192225     445.2771816       0.0000000           -39.2889434             0.0000000           824.6580179       7.4402861      17.7781994      33.5819482       0.0000000       0.0000000               313.397
        6200000     235.9617346     215.5047381     426.6879072       0.0000000           -38.9173926             0.0000000           839.2369873       7.4411254      17.7675628      33.5868448       0.0000000       0.0000000               318.533
        6300000     236.1246067     213.1769249     432.5692141       0.0000000           -38.8617714             0.0000000           843.0089742       7.4389875      17.7635903      33.5908225       0.0000000       0.0000000               323.670
        6400000     220.2863258     218.0692954     420.6558025       0.0000000           -39.0798354             0.0000000           819.9315883       7.4331242      17.7587314      33.5856886       0.0000000       0.0000000               328.791
        6500000     222.4558087     202.1637187     402.0119970       0.0000000           -39.2571966             0.0000000           787.3743279       7.4342466      17.7511034      33.5864579       0.0000000       0.0000000               333.917
        6600000     201.1388297     238.6332136     404.3055710       0.0000000           -39.7382710             0.0000000           804.3393434       7.4340945      17.7494706      33.5828771       0.0000000       0.0000000               339.052
        6700000     218.3288322     217.7407019     422.0851780       0.0000000           -36.7528952             0.0000000           821.4018169       7.4389284      17.7522599      33.5810821       0.0000000       0.0000000               344.174
        6800000     239.8987904     241.1027364     394.4843516       0.0000000           -37.5915470             0.0000000           837.8943314       7.4449630      17.7529620      33.5844558       0.0000000       0.0000000               349.316
