#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
       158        158.000      2326.64         0.00        3.875
       159        159.000      1535.33         0.00        2.557
       160        160.000      2992.23         0.00        4.983
       161        161.000       941.94         0.00        1.569
       162        162.000      1803.58         0.00        3.003
       163        163.000      2518.38         0.00        4.194
       164        164.000      1394.41         0.00        2.322
       165        165.000      2063.70         0.00        3.437
       166        166.000      3033.66         0.00        5.052
       167        167.000      1380.18         0.00        2.298
       168        168.000      1375.12         0.00        2.290
       169        169.000      1904.86         0.00        3.172
       170        170.000      2005.87         0.00        3.340
       171        171.000       600.72         0.00        1.000
       172        172.000       584.51         0.00        0.973
       173        173.000       639.81         0.00        1.065
       174        174.000      2151.49         0.00        3.583
       175        175.000      1612.13         0.00        2.685
       176        176.000      2495.75         0.00        4.156
       177        177.000      3323.23         0.00        5.534
       178        178.000      1238.20         0.00        2.062
       179        179.000      4639.88         0.00        7.727
       180        180.000      1266.35         0.00        2.109
       181        181.000      3096.70         0.00        5.157
       182        182.000       798.44         0.00        1.330
       183        183.000      1598.94         0.00        2.663
       184        184.000       909.22         0.00        1.514
       185        185.000      1383.58         0.00        2.304
       186        186.000      3743.42         0.00        6.234
       187        187.000      1916.95         0.00        3.192
       188        188.000      3468.82         0.00        5.777
       189        189.000      1054.36         0.00        1.756
       190        190.000      1300.40         0.00        2.166
       191        191.000      1792.75         0.00        2.985
       192        192.000       795.77         0.00        1.325
       193        193.000       982.72         0.00        1.637
       194        194.000       839.66         0.00        1.398
       195        195.000      1823.03         0.00        3.036
       196        196.000       647.64         0.00        1.078
       197        197.000      1258.91         0.00        2.096
       198        198.000      3188.19         0.00        5.309
       199        199.000       936.21         0.00        1.559
       200        200.000      1270.36         0.00        2.116
       201        201.000      1311.22         0.00        2.184
       202        202.000       982.48         0.00        1.636
       203        203.000      1946.78         0.00        3.242
       204        204.000      1822.69         0.00        3.035
       205        205.000      5724.56         0.00        9.533
       206        206.000      2906.68         0.00        4.840
       207        207.000      1281.55         0.00        2.134
       208        208.000      1240.11         0.00        2.065
       209        209.000      1095.18         0.00        1.824
       210        210.000      2473.27         0.00        4.119
       211        211.000      1738.18         0.00        2.895
       212        212.000      1535.11         0.00        2.556
       213        213.000      3171.01         0.00        5.281
       214        214.000      1475.25         0.00        2.457
       215        215.000      2490.58         0.00        4.148
       216        216.000       968.90         0.00        1.613
       217        217.000      1108.68         0.00        1.846
       218        218.000      1047.36         0.00        1.744
       219        219.000      1520.77         0.00        2.532
