# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
     169           20.579                8.626         3477.777          331331
     170           20.585                8.629         3499.369          330330
     171           20.590                8.631         3520.945          329329
     172           20.596                8.634         3542.532          328328
     173           20.602                8.636         3564.118          327327
     174           20.608                8.638         3585.711          326326
     175           20.613                8.641         3607.304          325325
     176           20.619                8.643         3628.892          324324
     177           20.624                8.645         3650.497          323323
     178           20.630                8.648         3672.105          322322
     179           20.635                8.650         3693.714          321321
     180           20.641                8.652         3715.335          320320
     181           20.646                8.655         3736.958          319319
     182           20.652                8.657         3758.606          318318
     183           20.657                8.659         3780.268          317317
     184           20.663                8.661         3801.927          316316
     185           20.668                8.664         3823.594          315315
     186           20.673                8.666         3845.261          314314
     187           20.679                8.668         3866.913          313313
     188           20.684                8.670         3888.589          312312
     189           20.689                8.673         3910.248          311311
     190           20.694                8.675         3931.927          310310
     191           20.699                8.677         3953.600          309309
     192           20.705                8.679         3975.301          308308
     193           20.710                8.681         3997.000          307307
     194           20.715                8.683         4018.703          306306
     195           20.720                8.686         4040.410          305305
     196           20.725                8.688         4062.111          304304
     197           20.730                8.690         4083.841          303303
     198           20.735                8.692         4105.578          302302
     199           20.740                8.694         4127.333          301301
     200           20.746                8.696         4149.111          300300
     201           20.751                8.698         4170.887          299299
     202           20.756                8.701         4192.707          298298
     203           20.761                8.703         4214.529          297297
     204           20.767                8.705         4236.395          296296
     205           20.772                8.707         4258.268          295295
     206           20.778                8.710         4280.173          294294
     207           20.783                8.712         4302.085          293293
     208           20.789                8.714         4324.020          292292
     209           20.794                8.717         4345.980          291291
     210           20.800                8.719         4367.970          290290
     211           20.806                8.721         4389.994          289289
     212           20.811                8.724         4412.028          288288
     213           20.817                8.726         4434.085          287287
     214           20.823                8.729         4456.140          286286
     215           20.829                8.731         4478.230          285285
     216           20.835                8.734         4500.337          284284
     217           20.841                8.736         4522.486          283283
     218           20.847                8.739         4544.662          282282
     219           20.853                8.741         4566.873          281281
     220           20.860                8.744         4589.121          280280
     221           20.866                8.747         4611.385          279279
