#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 49900 vectors per frame, 499 vectors per chain, 100 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 151
36 0.0019493212 0.00054973598 -0.00732472 1.33047 0.000295121 0.0010887 0.000565505 0.110987 0.111365 0.111122 3.03926e-05 6.02662e-05 2.23959e-05
37 0.001158761 0.00017397786 -0.00736927 1.32882 3.06801e-05 0.000675971 0.00045211 0.110889 0.111319 0.111108 3.08004e-05 1.85514e-05 1.7848e-05
38 0.0011553007 0.00045019429 -0.00786042 1.3303 0.00013478 0.000773196 0.000247324 0.110996 0.111362 0.11114 2.31174e-05 4.23703e-05 1.59881e-06
39 0.00065400294 7.0770766e-05 -0.00732222 1.32851 3.02452e-06 0.000538087 0.000112891 0.110884 0.111305 0.111139 1.6844e-05 1.34457e-05 -4.05599e-06
40 0.00053575852 0.00049788361 -0.00773327 1.33054 1.191e-05 0.000469822 5.40261e-05 0.110923 0.111349 0.111137 4.05314e-05 7.71405e-05 1.04112e-05
41 0.000100392 0.00015280972 -0.0080039 1.32866 -0.00011231 0.00041418 -0.000201478 0.110836 0.111306 0.11114 3.12636e-05 3.39283e-05 1.14246e-05
42 7.8979296e-05 0.0003069151 -0.00718811 1.33048 -8.78108e-05 0.000243942 -7.71523e-05 0.110869 0.111333 0.11112 2.54882e-05 5.76656e-05 2.46655e-05
43 -8.9029807e-05 0.00017636487 -0.00781157 1.32896 -0.000218548 0.000310367 -0.000180849 0.110873 0.111287 0.111121 4.63186e-05 2.59532e-05 1.2465e-05
44 -0.00025609655 0.00032226421 -0.00629752 1.33016 -0.000208535 0.000115486 -0.000163048 0.110865 0.111335 0.11114 3.04577e-05 6.44022e-05 8.99967e-06
45 -0.00020906542 0.00018353204 -0.00711875 1.32869 -0.000338138 0.00027597 -0.000146897 0.110905 0.111314 0.111152 2.49065e-05 3.03297e-05 -1.27831e-05
46 -0.00028480355 0.00029258953 -0.00635275 1.3296 -0.000327625 0.000144838 -0.000102017 0.110879 0.11135 0.111155 2.85167e-05 5.9955e-05 -1.62709e-05
47 -0.00037393545 0.00016458867 -0.00566325 1.32896 -0.000352876 7.56367e-05 -9.66965e-05 0.110911 0.111311 0.111125 2.87324e-05 -7.00222e-07 1.98117e-05
48 -0.00039560516 -2.19011e-06 -0.00643267 1.33 -0.000392392 3.96487e-05 -4.28621e-05 0.110887 0.111284 0.111105 1.98264e-05 -3.22462e-06 1.16156e-05
49 -0.00046165898 0.00031841837 -0.00629695 1.32853 -0.000439038 4.26337e-05 -6.52545e-05 0.110908 0.111342 0.111122 2.3761e-05 2.47411e-05 3.84268e-05
50 -0.00044686834 -7.8562552e-05 -0.00605353 1.3303 -0.000388691 -6.28769e-06 -5.18897e-05 0.110894 0.111296 0.111056 2.1131e-05 -2.74379e-05 2.35684e-05
51 -0.00061367248 0.00032928528 -0.00605715 1.32852 -0.000390861 -4.81742e-05 -0.000174637 0.110929 0.111359 0.111122 -5.08089e-06 4.76881e-05 2.89421e-05
52 -0.00048137631 8.6819572e-05 -0.00552035 1.33024 -0.000387614 -2.53205e-05 -6.84415e-05 0.110894 0.111337 0.111064 6.13539e-05 -9.03698e-06 -4.26164e-06
53 -0.00064922649 0.00024707846 -0.00523971 1.32843 -0.000504592 -4.91419e-05 -9.54923e-05 0.110939 0.111294 0.111126 1.07794e-05 2.00488e-05 3.8727e-05
54 -0.00069168013 0.00031218437 -0.00472927 1.33037 -0.000441797 -0.000136095 -0.000113788 0.110924 0.111365 0.111033 4.7273e-05 6.03875e-05 1.79379e-06
55 -0.00083932254 8.4686029e-05 -0.0047717 1.3281 -0.000615569 -0.000174263 -4.94901e-05 0.110948 0.111301 0.111131 -2.7678e-05 -1.29791e-05 4.50989e-05
56 -0.00084562367 0.00039014812 -0.00461084 1.33022 -0.00044584 -0.000195292 -0.000204492 0.110907 0.11141 0.111068 5.92459e-05 4.98933e-05 -4.76557e-06
57 -0.00094741242 1.047777e-05 -0.00488024 1.3279 -0.000672389 -0.000139861 -0.000135163 0.110965 0.111284 0.111147 -5.50414e-06 -3.66541e-05 1.42442e-05
58 -0.00071929321 0.0003834237 -0.00514085 1.33008 -0.000370461 -0.000228054 -0.000120778 0.110868 0.111414 0.111085 6.79456e-05 3.5384e-05 7.96661e-06
59 -0.0010553172 4.8892689e-06 -0.00490124 1.32794 -0.000699681 -0.000250922 -0.000104715 0.110943 0.111313 0.111147 1.11674e-06 -5.47738e-05 2.04906e-05
60 -0.00080944217 0.00023515024 -0.00465244 1.32972 -0.000419434 -0.00025827 -0.000131738 0.110897 0.111385 0.111077 2.05944e-05 3.38299e-05 1.12095e-05
61 -0.00082075081 0.00018429037 -0.00471411 1.32895 -0.000537889 -0.000233708 -4.91541e-05 0.110952 0.111343 0.11113 5.15911e-06 -1.22565e-05 2.2715e-05
62 -0.00075521682 0.00029141019 -0.00400318 1.32933 -0.000491888 -0.000220268 -4.30604e-05 0.110984 0.111429 0.111095 3.78024e-06 1.49774e-06 4.49954e-06
63 -0.00074191213 7.9215824e-05 -0.00429964 1.3289 -0.000447473 -0.000322955 2.85155e-05 0.110935 0.111311 0.111111 -3.11165e-05 1.4479e-05 3.12019e-05
64 -0.00055360675 0.00057367845 -0.00399169 1.32939 -0.000408217 -0.000229149 8.37591e-05 0.110976 0.111458 0.111099 4.54184e-05 3.07672e-05 1.5075e-05
65 -0.00055974474 0.00012914485 -0.00316234 1.32914 -0.000321656 -0.000241094 3.00491e-06 0.110891 0.111278 0.11112 -4.17232e-05 4.64713e-05 6.03369e-05
66 -0.00064894252 0.00049544643 -0.00316132 1.32941 -0.000407013 -0.000344078 0.000102148 0.110959 0.11148 0.111114 3.72181e-05 6.49905e-06 1.16588e-05
67 -0.000576189 -0.00014359328 -0.00316399 1.32893 -0.000274184 -0.000428094 0.000126089 0.110892 0.111259 0.111066 -4.16735e-05 3.33171e-05 1.8585e-05
68 -0.00081252391 0.00037592152 -0.00234118 1.32982 -0.000407847 -0.000420805 1.61284e-05 0.110925 0.111433 0.111102 5.63701e-05 -1.88262e-05 2.45743e-05
69 -0.00053525343 -0.00025529128 -0.00285438 1.32894 -0.000263882 -0.000338851 6.74791e-05 0.110923 0.111248 0.111039 -3.84716e-05 3.55684e-05 -2.07547e-05
70 -0.00068924011 0.00025484184 -0.00243482 1.32979 -0.000359821 -0.000310121 -1.92984e-05 0.110926 0.111406 0.111139 4.8133e-05 -1.47866e-05 -1.73008e-05
71 -0.00040842694 -0.00021327605 -0.0021216 1.3288 -0.000275454 -0.000186195 5.32223e-05 0.110927 0.111292 0.111082 -8.21058e-05 2.79325e-05 -6.91293e-07
72 -0.00071347938 0.00050978012 -0.00178947 1.33016 -0.000424135 -0.000159038 -0.000130307 0.110936 0.111432 0.111189 6.16942e-05 -1.9379e-05 1.56038e-05
73 -0.00034215428 -0.00013765662 -0.00201708 1.32831 -0.00014011 -0.00011398 -8.80634e-05 0.110934 0.111336 0.111081 -4.9722e-05 2.69343e-05 -3.22894e-05
74 -0.0006433215 0.0004903406 -0.00193817 1.33066 -0.000377016 -4.33658e-05 -0.00022294 0.110945 0.111392 0.111134 6.88687e-05 -6.74867e-06 3.24742e-05
75 -0.00033519973 -6.894587e-05 -0.00295541 1.32707 -3.1256e-05 -0.000140567 -0.000163377 0.110933 0.111379 0.111074 -5.92634e-05 4.87789e-05 -3.87174e-05
76 -0.00045721726 0.00059617679 -0.00228007 1.3315 -0.000235019 -6.41292e-05 -0.000158069 0.11094 0.111349 0.111153 7.09748e-05 2.0148e-06 7.14777e-05
77 -0.00038164786 7.121203e-05 -0.00257554 1.32689 8.7291e-05 -0.00017783 -0.000291109 0.110956 0.111425 0.111071 -5.08622e-05 4.51706e-05 -2.9987e-05
78 -0.0003875117 0.00048126718 -0.00204425 1.33169 -0.000103239 -0.000129995 -0.000154278 0.110894 0.111339 0.111132 4.45729e-05 9.46892e-06 9.05975e-05
79 -0.00033680732 -0.00024394873 -0.00234819 1.32694 -1.67744e-05 -6.54389e-05 -0.000254594 0.110958 0.11136 0.111007 -4.61402e-05 -3.4179e-06 -2.75905e-05
80 -0.00038352842 0.00057698656 -0.00272585 1.33173 -6.44038e-05 -0.000239245 -7.98799e-05 0.110888 0.111373 0.111165 4.29226e-05 2.66351e-05 7.66289e-05
81 -0.00040292724 3.2200742e-06 -0.00270514 1.32737 -8.89357e-05 -0.000157749 -0.000156242 0.110939 0.111343 0.111055 -3.97603e-05 1.78105e-05 2.1054e-05
82 -0.00060862308 0.00056891164 -0.00247896 1.33102 -0.000126581 -0.000382843 -9.91988e-05 0.110912 0.111407 0.111193 2.79761e-05 -4.97805e-06 7.71563e-05
83 -0.00059602646 -6.6834928e-05 -0.0030847 1.32723 -0.000155817 -0.000305139 -0.00013507 0.11095 0.111315 0.111093 -3.95015e-05 4.35834e-06 4.37928e-07
84 -0.00065768599 0.00048438638 -0.00240946 1.33011 -7.88597e-05 -0.000542732 -3.6094e-05 0.110917 0.111434 0.111171 4.96537e-05 -6.95099e-06 2.45566e-05
85 -0.00067293548 -0.00010289191 -0.00273539 1.32758 -0.000156814 -0.000470969 -4.51526e-05 0.110911 0.111349 0.11112 -6.14913e-05 1.97093e-05 -1.58451e-05
86 -0.00072407269 0.00046548798 -0.00314462 1.33034 -0.000121016 -0.000636465 3.34078e-05 0.110911 0.111404 0.111115 4.58028e-05 1.78866e-05 4.31215e-05
87 -0.00061072495 -0.00011014798 -0.00270235 1.3279 -9.12517e-05 -0.000467984 -5.14896e-05 0.110906 0.111349 0.111101 -3.98276e-05 -2.03042e-06 -5.78423e-06
88 -0.00090752365 0.00046573165 -0.00267547 1.33053 -0.000217608 -0.000687082 -2.83374e-06 0.110933 0.111385 0.111097 4.98209e-06 1.92415e-05 9.03059e-05
89 -0.0009035568 -0.00012558258 -0.00273614 1.32809 -0.000221642 -0.000634386 -4.75293e-05 0.110867 0.111333 0.111122 -2.38395e-05 1.09778e-05 -2.3124e-05
90 -0.0010199582 0.00024836112 -0.00248615 1.3301 -0.000311143 -0.000742375 3.35595e-05 0.110952 0.111397 0.111062 -4.01949e-05 1.81826e-05 6.57846e-05
91 -0.00087421487 9.8908328e-05 -0.00281334 1.32855 -0.000275171 -0.000595498 -3.54604e-06 0.110882 0.111341 0.111167 -1.02151e-05 1.60017e-05 -9.95219e-07
92 -0.0011956368 0.00028121081 -0.00195842 1.32994 -0.000468999 -0.000824139 9.75006e-05 0.110984 0.111407 0.111052 -2.10177e-05 5.79084e-06 5.40115e-05
93 -0.0011266858 -9.2173272e-05 -0.00301763 1.32823 -0.000391496 -0.000753869 1.86788e-05 0.110904 0.111334 0.111156 -1.58973e-05 -3.29662e-05 -1.17579e-05
94 -0.001237795 7.4295898e-05 -0.00250093 1.32955 -0.000571923 -0.00086622 0.000200347 0.110962 0.111318 0.111065 3.07642e-05 -1.24531e-05 6.05549e-07
95 -0.0014367907 6.4507509e-06 -0.00270934 1.32832 -0.000545557 -0.000915853 2.46197e-05 0.110911 0.111376 0.111167 -3.08204e-05 -3.20931e-05 4.71691e-06
96 -0.0013365409 -0.00010678744 -0.00173723 1.33007 -0.000674433 -0.000934551 0.000272443 0.110915 0.111274 0.111053 3.98212e-05 1.51614e-05 -4.45692e-05
97 -0.0015612577 0.0001332599 -0.00221009 1.32842 -0.000725983 -0.000951868 0.000116593 0.110944 0.111382 0.111158 -3.16396e-05 -9.77066e-06 1.07249e-05
98 -0.001395181 0.00010139098 -0.00127699 1.32997 -0.000709091 -0.000921573 0.000235483 0.110878 0.111268 0.111108 5.27224e-05 1.34126e-05 6.92832e-06
99 -0.0016099388 0.00024772859 -0.00199138 1.32815 -0.000833287 -0.000939878 0.000163226 0.110962 0.111402 0.111121 -4.11597e-05 1.69064e-05 3.07196e-05
100 -0.0015306197 0.0001849605 -0.0018912 1.33 -0.000714752 -0.00109123 0.000275362 0.110887 0.111323 0.111102 2.85225e-05 3.2682e-05 1.16908e-05
101 -0.0014962453 0.00070205882 -0.0015897 1.32868 -0.000774997 -0.000949932 0.000228683 0.111005 0.111395 0.111155 -3.34381e-05 6.4788e-05 9.17499e-05
102 -0.0012331714 -0.00012682698 -0.001746 1.32943 -0.000638306 -0.00102342 0.00042856 0.110896 0.111283 0.11107 8.90459e-06 8.48431e-06 -1.7524e-05
103 -0.0011556217 0.00063778863 -0.00178081 1.3285 -0.00054427 -0.000975488 0.000364136 0.111022 0.111443 0.111152 -3.52826e-05 3.85392e-05 6.74089e-05
104 -0.0012098583 -0.00013275197 -0.0007963 1.32968 -0.000602098 -0.00104786 0.000440103 0.110894 0.11128 0.111064 5.13239e-05 -1.60668e-05 -3.19426e-05
105 -0.0009285232 0.00042844968 -0.00128114 1.3289 -0.000470254 -0.000923851 0.000465582 0.110976 0.111386 0.111124 -2.4854e-05 4.02928e-05 5.10097e-05
106 -0.0010895329 -0.00021448513 -0.000292826 1.32902 -0.000613155 -0.000924684 0.000448306 0.110895 0.111322 0.111069 1.56277e-06 -3.7129e-05 -1.18093e-05
107 -0.0007512294 0.00018016041 -0.000740685 1.3291 -0.000507837 -0.000768188 0.000524795 0.110943 0.111321 0.111103 4.03235e-06 2.30018e-05 1.61612e-05
108 -0.00076872034 -2.470016e-05 -0.000801546 1.32892 -0.0003174 -0.000875359 0.000424039 0.110931 0.111356 0.111111 2.82321e-05 -5.751e-05 -1.13334e-05
109 -0.00081417889 0.00012609562 -0.000547611 1.32945 -0.00048888 -0.000769194 0.000443895 0.110904 0.111273 0.111097 7.85266e-06 3.86455e-05 2.53731e-05
110 -0.00057759185 -0.00023309681 -0.000192156 1.32845 -0.000225879 -0.000765551 0.000413839 0.110968 0.11137 0.1111 -2.55495e-05 -7.46094e-05 -2.95717e-05
111 -0.00036273278 0.00023562284 -0.000431052 1.32988 -0.000152829 -0.000709391 0.000499487 0.1109 0.111284 0.111112 -2.3074e-05 4.06045e-05 7.96229e-05
112 -0.0005084083 -2.1691931e-05 0.000295576 1.32911 -0.000205757 -0.000754107 0.000451456 0.111016 0.111409 0.111114 5.56925e-05 -0.000116879 -4.88501e-05
113 -0.00030799387 0.00024757547 -7.33566e-05 1.33042 -3.35458e-05 -0.00061765 0.000343202 0.110858 0.111288 0.111125 -4.23754e-05 6.23102e-05 9.32757e-05
114 -0.00025845094 -8.9690812e-05 1.73762e-05 1.32918 -3.04092e-05 -0.000537087 0.000309045 0.110962 0.111371 0.111095 7.03897e-05 -0.000100588 -4.69625e-05
115 -0.00031974462 0.00026530155 2.37961e-05 1.33036 -0.00011614 -0.00039414 0.000190536 0.11087 0.111289 0.111131 -3.50983e-05 4.9683e-05 9.58694e-05
116 -0.00021528083 1.1812502e-05 0.000373698 1.3291 7.07305e-05 -0.000375012 8.90002e-05 0.110943 0.111343 0.111106 4.98251e-05 -7.00891e-05 -5.16515e-06
117 6.9072513e-05 0.00019219097 0.000388603 1.33006 2.84811e-05 -0.000281854 0.000322446 0.110862 0.111342 0.111086 -6.0366e-06 4.21207e-05 4.94289e-05
118 -0.00014481131 8.9151309e-05 0.000725339 1.32858 0.000152337 -0.000188436 -0.000108712 0.110933 0.111364 0.111106 1.91164e-05 -3.1109e-05 6.99805e-06
119 0.00010105628 0.00015601255 0.000862378 1.3301 0.000105757 -0.00016017 0.00015547 0.110882 0.111363 0.111038 3.6186e-06 2.44063e-05 4.88329e-05
120 -0.00012912624 0.00015952537 0.00170877 1.32851 0.000162739 -0.000166921 -0.000124944 0.11093 0.111368 0.111118 2.9342e-05 -1.16728e-05 -5.7691e-06
121 0.0001838734 -0.0001880305 0.000562993 1.32905 3.78516e-05 -4.20136e-05 0.000188035 0.11089 0.111337 0.111058 4.53234e-07 -3.14643e-05 -7.41817e-06
122 0.00010581478 0.00050917524 0.00165217 1.32836 0.000181676 3.17857e-05 -0.000107647 0.11094 0.111371 0.111143 2.338e-05 5.36433e-05 3.23824e-05
123 -0.00023940342 -0.00042479503 0.00105599 1.32911 6.40559e-05 -0.00020706 -9.63992e-05 0.110891 0.111327 0.111045 -1.33386e-05 -5.27882e-05 -4.04108e-05
124 1.3857435e-06 0.00062014944 0.00168548 1.32867 5.24197e-05 3.35735e-05 -8.46074e-05 0.110983 0.111389 0.111169 2.05323e-05 5.00748e-05 3.22249e-05
125 -0.00030325289 -0.00035341425 0.00194269 1.32948 5.33529e-05 -5.48864e-05 -0.000301719 0.110889 0.11132 0.111003 -2.68996e-05 -3.98562e-05 9.80744e-06
126 -0.00017091659 0.0004735196 0.0015468 1.32916 -0.000100853 8.61555e-05 -0.000156219 0.110921 0.111344 0.111163 4.10172e-05 5.78153e-05 1.16217e-05
127 -0.00042891998 -0.00065914745 0.00159813 1.32916 -0.000118412 -2.94933e-05 -0.000281015 0.110883 0.111284 0.111 -4.6065e-05 -5.201e-05 -3.80544e-05
128 -0.00029942864 0.00038934269 0.00198579 1.32892 -0.000208902 0.000172531 -0.000263057 0.110944 0.111351 0.111163 1.90456e-05 5.17656e-05 -3.15501e-06
129 -0.00058231182 -0.0005063119 0.00146396 1.32931 -0.000384003 7.6439e-05 -0.000274747 0.110873 0.111291 0.110996 -2.71195e-06 -3.76636e-05 -4.14465e-05
