#  iFrame          Time(ps)     <Ree^2>(A^2)     stdRee^2(A^2)     <Ree^2>/M(molnm2/kg)
#======================================================================================
         0          0.000      7789.66      5700.27       11.101
        50    1000000.000      9395.54      7195.34       13.390
       100    2000000.000     10728.23      8843.41       15.289
       150    3000000.000     11211.07      9689.22       15.977
