#  Number of backbone atoms:500.0, calc_distances:True, lavg :1.5400911334343785
#  iFrame          Time(ps)     <Ree^2>/nl^2     6.0*<Rg^2>/nl^2      Cn_formula
#===============================================================================
         0          0.000         6.58         6.27          0.00
        50    1000000.000         7.94         8.45          0.00
       100    2000000.000         9.06         8.77          0.00
       150    3000000.000         9.47         9.13          0.00
