# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
     169           19.253                8.115         3253.736          132400
     170           19.254                8.115         3273.232          132000
     171           19.256                8.116         3292.757          131600
     172           19.257                8.117         3312.285          131200
     173           19.259                8.118         3331.840          130800
     174           19.261                8.118         3351.414          130400
     175           19.263                8.119         3371.012          130000
     176           19.265                8.120         3390.622          129600
     177           19.267                8.121         3410.260          129200
     178           19.269                8.122         3429.928          128800
     179           19.272                8.123         3449.599          128400
     180           19.274                8.124         3469.328          128000
     181           19.277                8.125         3489.072          127600
     182           19.279                8.126         3508.840          127200
     183           19.282                8.127         3528.636          126800
     184           19.285                8.128         3548.424          126400
     185           19.288                8.130         3568.256          126000
     186           19.291                8.131         3588.109          125600
     187           19.294                8.132         3607.982          125200
     188           19.297                8.134         3627.896          124800
     189           19.301                8.135         3647.816          124400
     190           19.304                8.136         3667.783          124000
     191           19.308                8.138         3687.750          123600
     192           19.311                8.139         3707.730          123200
     193           19.315                8.141         3727.707          122800
     194           19.318                8.142         3747.652          122400
     195           19.321                8.144         3767.576          122000
     196           19.324                8.145         3787.443          121600
     197           19.326                8.146         3807.306          121200
     198           19.329                8.147         3827.105          120800
     199           19.331                8.148         3846.891          120400
     200           19.333                8.149         3866.678          120000
     201           19.336                8.150         3886.448          119600
     202           19.338                8.151         3906.208          119200
     203           19.340                8.152         3925.973          118800
     204           19.342                8.152         3945.732          118400
     205           19.344                8.153         3965.456          118000
     206           19.345                8.154         3985.164          117600
     207           19.347                8.155         4004.860          117200
     208           19.349                8.155         4024.560          116800
     209           19.350                8.156         4044.210          116400
     210           19.352                8.157         4063.841          116000
     211           19.353                8.157         4083.436          115600
     212           19.354                8.157         4103.000          115200
     213           19.355                8.158         4122.511          114800
     214           19.355                8.158         4141.991          114400
     215           19.355                8.158         4161.432          114000
     216           19.356                8.158         4180.812          113600
     217           19.356                8.158         4200.152          113200
     218           19.355                8.158         4219.436          112800
     219           19.355                8.158         4238.710          112400
     220           19.354                8.158         4257.966          112000
     221           19.354                8.157         4277.180          111600
     222           19.353                8.157         4296.381          111200
     223           19.352                8.157         4315.539          110800
     224           19.351                8.156         4334.714          110400
     225           19.350                8.156         4353.836          110000
     226           19.350                8.156         4372.992          109600
     227           19.349                8.155         4392.134          109200
     228           19.348                8.155         4411.311          108800
     229           19.347                8.155         4430.468          108400
     230           19.346                8.154         4449.642          108000
     231           19.345                8.154         4468.805          107600
     232           19.345                8.154         4487.948          107200
     233           19.344                8.153         4507.097          106800
     234           19.343                8.153         4526.249          106400
     235           19.342                8.153         4545.414          106000
     236           19.341                8.152         4564.573          105600
     237           19.341                8.152         4583.717          105200
     238           19.340                8.151         4602.827          104800
     239           19.339                8.151         4621.911          104400
     240           19.337                8.151         4640.968          104000
     241           19.336                8.150         4660.012          103600
     242           19.335                8.150         4679.091          103200
     243           19.334                8.149         4698.204          102800
     244           19.333                8.149         4717.307          102400
     245           19.332                8.148         4736.405          102000
     246           19.331                8.148         4755.521          101600
     247           19.331                8.148         4774.644          101200
     248           19.330                8.147         4793.813          100800
     249           19.329                8.147         4813.015          100400
     250           19.329                8.147         4832.319          100000
     251           19.329                8.147         4851.651           99600
     252           19.330                8.147         4871.116           99200
     253           19.330                8.148         4890.615           98800
     254           19.332                8.148         4910.208           98400
     255           19.333                8.149         4929.852           98000
     256           19.334                8.149         4949.511           97600
     257           19.335                8.150         4969.186           97200
     258           19.337                8.150         4988.916           96800
     259           19.338                8.151         5008.652           96400
     260           19.340                8.152         5028.422           96000
     261           19.342                8.152         5048.243           95600
     262           19.344                8.153         5068.081           95200
     263           19.346                8.154         5087.953           94800
     264           19.348                8.155         5107.916           94400
     265           19.351                8.156         5127.910           94000
     266           19.353                8.157         5147.993           93600
     267           19.356                8.158         5168.130           93200
     268           19.360                8.160         5188.351           92800
     269           19.363                8.161         5208.633           92400
     270           19.366                8.163         5228.955           92000
     271           19.370                8.164         5249.330           91600
     272           19.374                8.166         5269.713           91200
     273           19.378                8.167         5290.099           90800
     274           19.381                8.169         5310.436           90400
     275           19.385                8.170         5330.786           90000
     276           19.388                8.172         5351.151           89600
     277           19.392                8.173         5371.508           89200
     278           19.395                8.175         5391.901           88800
     279           19.399                8.176         5412.307           88400
     280           19.403                8.178         5432.750           88000
     281           19.406                8.180         5453.224           87600
     282           19.411                8.181         5473.782           87200
     283           19.415                8.183         5494.329           86800
     284           19.419                8.185         5514.988           86400
     285           19.423                8.187         5535.672           86000
     286           19.428                8.189         5556.372           85600
     287           19.432                8.191         5577.074           85200
     288           19.437                8.192         5597.816           84800
     289           19.441                8.194         5618.563           84400
     290           19.446                8.196         5639.315           84000
     291           19.450                8.198         5660.063           83600
     292           19.455                8.200         5680.798           83200
     293           19.459                8.202         5701.477           82800
     294           19.463                8.203         5722.134           82400
     295           19.467                8.205         5742.765           82000
     296           19.471                8.207         5763.474           81600
     297           19.475                8.209         5784.131           81200
     298           19.479                8.210         5804.756           80800
     299           19.483                8.212         5825.275           80400
     300           19.486                8.213         5845.697           80000
     301           19.489                8.214         5866.076           79600
     302           19.491                8.215         5886.351           79200
     303           19.494                8.216         5906.556           78800
     304           19.496                8.217         5926.700           78400
     305           19.498                8.218         5946.810           78000
     306           19.500                8.219         5966.849           77600
     307           19.501                8.220         5986.832           77200
     308           19.502                8.220         6006.754           76800
     309           19.504                8.221         6026.646           76400
     310           19.505                8.221         6046.452           76000
     311           19.505                8.221         6066.161           75600
     312           19.506                8.221         6085.802           75200
     313           19.506                8.222         6105.394           74800
     314           19.506                8.222         6124.962           74400
     315           19.506                8.222         6144.466           74000
     316           19.506                8.222         6163.981           73600
     317           19.506                8.222         6183.409           73200
     318           19.506                8.222         6202.908           72800
     319           19.506                8.222         6222.411           72400
     320           19.506                8.222         6241.954           72000
     321           19.506                8.222         6261.585           71600
     322           19.507                8.222         6281.169           71200
     323           19.507                8.222         6300.874           70800
     324           19.508                8.222         6320.593           70400
     325           19.509                8.223         6340.354           70000
     326           19.510                8.223         6360.200           69600
     327           19.511                8.224         6380.116           69200
     328           19.513                8.224         6400.101           68800
     329           19.514                8.225         6420.151           68400
     330           19.516                8.226         6440.225           68000
     331           19.517                8.226         6460.284           67600
     332           19.519                8.227         6480.319           67200
     333           19.520                8.228         6500.295           66800
     334           19.522                8.228         6520.190           66400
     335           19.522                8.229         6540.030           66000
     336           19.523                8.229         6559.873           65600
     337           19.524                8.229         6579.709           65200
     338           19.525                8.230         6599.431           64800
     339           19.525                8.230         6619.072           64400
     340           19.525                8.230         6638.646           64000
     341           19.525                8.230         6658.175           63600
     342           19.525                8.230         6677.667           63200
     343           19.525                8.230         6697.063           62800
     344           19.525                8.229         6716.437           62400
     345           19.524                8.229         6735.816           62000
     346           19.524                8.229         6755.155           61600
     347           19.523                8.229         6774.464           61200
     348           19.522                8.229         6793.826           60800
     349           19.522                8.228         6813.197           60400
     350           19.522                8.228         6832.584           60000
     351           19.522                8.228         6852.066           59600
     352           19.521                8.228         6871.557           59200
     353           19.522                8.228         6891.173           58800
     354           19.522                8.228         6910.789           58400
     355           19.522                8.228         6930.449           58000
     356           19.523                8.229         6950.251           57600
     357           19.524                8.229         6970.128           57200
     358           19.525                8.230         6990.036           56800
     359           19.527                8.230         7010.031           56400
     360           19.528                8.231         7030.052           56000
     361           19.529                8.231         7050.087           55600
     362           19.531                8.232         7070.107           55200
     363           19.532                8.233         7090.245           54800
     364           19.534                8.233         7110.422           54400
     365           19.536                8.234         7130.572           54000
