0.10 0.0000
0.30 0.0000
0.50 0.0000
0.70 0.0000
0.90 0.0000
1.10 0.0000
1.30 0.0000
1.50 0.0000
1.70 0.0000
1.90 0.0000
2.10 0.0000
2.30 0.0000
2.50 0.0005
2.70 0.0013
2.90 0.0056
3.10 0.0182
3.30 0.0458
3.50 0.0986
3.70 0.1835
3.90 0.2892
4.10 0.3871
4.30 0.4705
4.50 0.5522
4.70 0.6286
4.90 0.6973
5.10 0.7517
5.30 0.7967
5.50 0.8183
5.70 0.8302
5.90 0.8361
6.10 0.8336
6.30 0.8315
6.50 0.8234
6.70 0.8193
6.90 0.8087
7.10 0.8009
7.30 0.7970
7.50 0.7946
7.70 0.7927
7.90 0.7986
8.10 0.8008
8.30 0.8085
8.50 0.8201
8.70 0.8324
8.90 0.8444
9.10 0.8548
9.30 0.8701
9.50 0.8810
9.70 0.8918
9.90 0.9012
10.10 0.9094
10.30 0.9145
10.50 0.9211
10.70 0.9247
10.90 0.9278
11.10 0.9315
11.30 0.9315
11.50 0.9320
11.70 0.9341
11.90 0.9334
12.10 0.9352
12.30 0.9359
12.50 0.9375
12.70 0.9383
12.90 0.9405
13.10 0.9426
13.30 0.9471
13.50 0.9464
13.70 0.9522
13.90 0.9552
14.10 0.9578
14.30 0.9600
14.50 0.9652
14.70 0.9672
14.90 0.9675
15.10 0.9709
15.30 0.9743
15.50 0.9753
15.70 0.9769
15.90 0.9786
16.10 0.9801
16.30 0.9794
16.50 0.9815
16.70 0.9830
16.90 0.9828
17.10 0.9848
17.30 0.9847
17.50 0.9855
17.70 0.9871
17.90 0.9883
18.10 0.9898
18.30 0.9899
18.50 0.9916
18.70 0.9938
18.90 0.9933
19.10 0.9953
19.30 0.9953
19.50 0.9977
19.70 0.9981
19.90 1.0000
