0.10 0.0000
0.30 0.0000
0.50 0.0000
0.70 0.0000
0.90 0.0000
1.10 0.0000
1.30 0.0000
1.50 0.0000
1.70 0.0000
1.90 0.0000
2.10 0.0000
2.30 0.0000
2.50 0.0000
2.70 0.0052
2.90 0.0388
3.10 0.1156
3.30 0.2045
3.50 0.2868
3.70 0.3364
3.90 0.4126
4.10 0.4751
4.30 0.5793
4.50 0.6286
4.70 0.7109
4.90 0.7384
5.10 0.7196
5.30 0.7483
5.50 0.7561
5.70 0.7667
5.90 0.7910
6.10 0.7714
6.30 0.7916
6.50 0.7731
6.70 0.8033
6.90 0.7996
7.10 0.7780
7.30 0.7740
7.50 0.7966
7.70 0.7963
7.90 0.7925
8.10 0.8095
8.30 0.8166
8.50 0.8216
8.70 0.8307
8.90 0.8448
9.10 0.8448
9.30 0.8580
9.50 0.8564
9.70 0.8594
9.90 0.8803
10.10 0.8793
10.30 0.8936
10.50 0.8909
10.70 0.9029
10.90 0.9059
11.10 0.9204
11.30 0.9092
11.50 0.9056
11.70 0.9362
11.90 0.9331
12.10 0.9267
12.30 0.9347
12.50 0.9371
12.70 0.9382
12.90 0.9414
13.10 0.9416
13.30 0.9429
13.50 0.9526
13.70 0.9493
13.90 0.9531
14.10 0.9466
14.30 0.9601
14.50 0.9575
14.70 0.9581
14.90 0.9627
15.10 0.9508
15.30 0.9604
15.50 0.9616
15.70 0.9642
15.90 0.9690
16.10 0.9678
16.30 0.9757
16.50 0.9749
16.70 0.9793
16.90 0.9823
17.10 0.9778
17.30 0.9887
17.50 0.9833
17.70 0.9893
17.90 0.9822
18.10 0.9839
18.30 0.9954
18.50 0.9894
18.70 0.9930
18.90 0.9994
19.10 0.9954
19.30 0.9937
19.50 0.9996
19.70 0.9934
19.90 0.9984
