0.10 0.0000
0.30 0.0000
0.50 0.0000
0.70 0.0000
0.90 0.0000
1.10 0.0000
1.30 0.0000
1.50 0.0000
1.70 0.0000
1.90 0.0000
2.10 0.0000
2.30 0.0000
2.50 0.0011
2.70 0.0024
2.90 0.0117
3.10 0.0441
3.30 0.1162
3.50 0.2353
3.70 0.4546
3.90 0.7111
4.10 0.9678
4.30 1.1854
4.50 1.3963
4.70 1.5832
4.90 1.7919
5.10 1.9747
5.30 2.0916
5.50 2.1999
5.70 2.2472
5.90 2.2978
6.10 2.3216
6.30 2.3327
6.50 2.3459
6.70 2.3537
6.90 2.3284
7.10 2.3148
7.30 2.2933
7.50 2.2513
7.70 2.1960
7.90 2.1384
8.10 2.0921
8.30 2.0433
8.50 2.0119
8.70 1.9712
8.90 1.9362
9.10 1.9032
9.30 1.8685
9.50 1.8474
9.70 1.8170
9.90 1.7967
10.10 1.7628
10.30 1.7385
10.50 1.7153
10.70 1.6855
10.90 1.6493
11.10 1.6267
11.30 1.5887
11.50 1.5663
11.70 1.5361
11.90 1.5098
12.10 1.4869
12.30 1.4635
12.50 1.4400
12.70 1.4188
12.90 1.4034
13.10 1.3802
13.30 1.3610
13.50 1.3465
13.70 1.3371
13.90 1.3159
14.10 1.3039
14.30 1.2908
14.50 1.2803
14.70 1.2666
14.90 1.2551
15.10 1.2415
15.30 1.2287
15.50 1.2228
15.70 1.2102
15.90 1.1971
16.10 1.1848
16.30 1.1804
16.50 1.1640
16.70 1.1522
16.90 1.1423
17.10 1.1346
17.30 1.1250
17.50 1.1138
17.70 1.1063
17.90 1.0968
18.10 1.0910
18.30 1.0821
18.50 1.0720
18.70 1.0675
18.90 1.0611
19.10 1.0568
19.30 1.0442
19.50 1.0426
19.70 1.0343
19.90 1.0295
