 Density Temperature
0 1.0 1.0
1 0.37964116883298393 -0.006022823330509681
2 0.17067156354126425 0.0030707800800178742
3 0.08164650417838717 0.01233040264163486
4 0.05460403446306547 -0.0036019261037906285
5 0.036494685008735525 -0.0019507397309223972
6 0.03107769439847636 0.0046267925382650465
7 0.019903787882406477 0.006119947436179657
8 0.012292252465482293 0.002610662700994735
9 0.015266919491043158 -0.002731758916051983
10 0.018350236962163338 0.00033588398917806025
11 0.008061054150379596 0.0021225086871234605
12 -7.683502123164e-06 -0.002520796130873409
13 0.000547159801413064 -0.004861479363244447
14 -0.004126000888095633 0.0009754791513078884
15 0.004278070014401825 -0.0038611461145792543
16 0.0017546993565973632 0.0034624856331722884
17 -0.0012435354941239814 -0.004489568473677128
18 0.007333014312788355 0.0046478449325627795
19 0.006683753442524619 0.001992360687837946
20 -0.008332515796856078 -0.0027290220618628844
21 -0.008035993720267502 3.530831378472878e-06
22 -0.010587501588990373 -0.002823992202485328
23 -0.009738005862658505 -0.0037748634143336952
24 0.0008471688918907062 0.000798218068722911
25 -0.0037650560804910163 -0.009199805861774945
26 -0.008362130358619968 -0.0034298918933769696
27 -0.01451303915510994 0.002124471619125829
28 -0.007811743172753658 -0.0035590005227212704
29 -0.0010576157194103482 0.0008626414606149237
30 0.008014450717308684 -0.0017952599712413155
31 0.0038767928107290273 -0.004179244562128567
32 0.008557063964815353 0.0033941012517494113
33 0.0017188887880674971 -0.009179411472399238
34 -0.004447770170410908 -0.008008971601958176
35 0.0020514689877463555 0.0024149137325705007
36 -0.005500913724709162 -0.00014492213681230806
37 -0.006921092552367912 -0.003771058733642282
38 -0.003901758031723769 -0.015205079638674584
39 0.0008663722374779586 0.003626914995961571
40 0.00018661280381160653 -0.008702005427140688
41 0.01177576629115425 0.004334598821821797
42 0.009076589237180813 0.0034632217133884714
43 0.015210773835417668 0.0033732525466212866
