# /home/jramos/Programacion/hmeyer/yasp_cJ/bin/rdf_all.x VERSION2.2 28JAN2003 HM
# weed=1 maxmean=99999 #frames=11 #particles=170
# norm=0.0277797 norm2=nfr*nmol=0.0909091 ns*(ns-1)=28730//316030
7.85 1.305813611 41.15223238 869
7.95 1.286355872 42.09682625 878
8.05 1.298892289 43.07477138 909
8.15 1.219815052 44.01613771 875
8.25 1.258447549 45.0112964 925
8.35 1.257703989 46.03012372 947
8.45 1.22681549 47.0478752 946
8.55 1.171685765 48.04303389 925
8.65 1.108862148 49.00699301 896
8.75 1.147762366 50.02797203 949
8.85 1.159803583 51.08337816 981
8.95 1.144435199 52.14846692 990
9.05 1.166768568 53.25874126 1032
9.15 1.099376564 54.32813341 994
9.25 1.149326506 55.47068316 1062
9.35 1.07615034 56.56374395 1016
9.45 1.109488255 57.71490048 1070
9.55 1.053885048 58.83162991 1038
9.65 1.039116829 59.95589026 1045
9.75 1.051029745 61.11672942 1079
9.85 1.057475149 62.30876815 1108
9.95 0.9961079167 63.45454545 1065
10.05 1.043309487 64.6788596 1138
10.15 1.056109308 65.9429801 1175
10.25 1.000348412 67.1640667 1135
10.35 0.9759250484 68.37869822 1129
10.45 0.9717517326 69.61161915 1146
10.55 0.9001723957 70.77568585 1082
10.65 0.9592726474 72.03980635 1175
10.75 0.9423101357 73.30500269 1176
10.85 0.9596301427 74.61753631 1220
10.95 0.9228757823 75.90317375 1195
11.05 0.8979058134 77.17697687 1184
11.15 0.916134138 78.50026896 1230
11.25 0.9050412964 79.83109198 1237
11.35 0.8719124308 81.13609467 1213
11.45 0.8751130767 82.46906939 1239
11.55 0.8815432829 83.83539537 1270
11.65 0.8787552785 85.22108661 1288
11.75 0.848435383 86.58203335 1265
11.85 0.8315385916 87.93867671 1261
11.95 0.8604768267 89.36632598 1327
12.05 0.8545447553 90.80796127 1340
12.15 0.8367725466 92.24314147 1334
12.25 0.8342739892 93.69768693 1352
12.35 0.8177826808 95.14685315 1347
12.45 0.8399450672 96.65949435 1406
12.55 0.8424866775 98.20118343 1433
12.65 0.8216968701 99.7288865 1420
12.75 0.7906303312 101.2221625 1388
12.85 0.8518358777 102.8563744 1519
12.95 0.7238817003 104.2668101 1311
13.05 0.6812939362 105.6148467 1253
13.15 0.4540972321 106.5271651 848
13.25 0.3085522013 107.1565358 585
13.35 0.1802899481 107.5298548 347
13.45 0.1059571766 107.7525551 207
13.55 0 107.7525551 0
13.65 0 107.7525551 0
13.75 0 107.7525551 0
13.85 0 107.7525551 0
13.95 0 107.7525551 0
14.05 0 107.7525551 0
14.15 0 107.7525551 0
14.25 0 107.7525551 0
14.35 0 107.7525551 0
14.45 0 107.7525551 0
14.55 0 107.7525551 0
14.65 0 107.7525551 0
14.75 0 107.7525551 0
14.85 0 107.7525551 0
14.95 0 107.7525551 0
15.05 0 107.7525551 0
15.15 0 107.7525551 0
15.25 0 107.7525551 0
15.35 0 107.7525551 0
15.45 0 107.7525551 0
15.55 0 107.7525551 0
15.65 0 107.7525551 0
15.75 0 107.7525551 0
15.85 0 107.7525551 0
15.95 0 107.7525551 0
16.05 0 107.7525551 0
16.15 0 107.7525551 0
16.25 0 107.7525551 0
16.35 0 107.7525551 0
16.45 0 107.7525551 0
16.55 0 107.7525551 0
16.65 0 107.7525551 0
16.75 0 107.7525551 0
16.85 0 107.7525551 0
16.95 0 107.7525551 0
17.05 0 107.7525551 0
17.15 0 107.7525551 0
17.25 0 107.7525551 0
17.35 0 107.7525551 0
17.45 0 107.7525551 0
17.55 0 107.7525551 0
17.65 0 107.7525551 0
17.75 0 107.7525551 0
17.85 0 107.7525551 0
17.95 0 107.7525551 0
18.05 0 107.7525551 0
18.15 0 107.7525551 0
18.25 0 107.7525551 0
18.35 0 107.7525551 0
18.45 0 107.7525551 0
18.55 0 107.7525551 0
18.65 0 107.7525551 0
18.75 0 107.7525551 0
18.85 0 107.7525551 0
18.95 0 107.7525551 0
19.05 0 107.7525551 0
19.15 0 107.7525551 0
19.25 0 107.7525551 0
19.35 0 107.7525551 0
19.45 0 107.7525551 0
19.55 0 107.7525551 0
19.65 0 107.7525551 0
19.75 0 107.7525551 0
19.85 0 107.7525551 0
19.95 0 107.7525551 0

