 Time "Bond energy" "Non-Bonded energy" "Dispersion correction" "Potential energy"
0.0 0.0 8357.17988312 -13625.7206736 -1197.7580313600001 -5268.540916
10.0 10.0 79168.5028392 -3841.84448808 -1020.0510412 75326.656552
20.0 20.0 79803.36793680002 -6421.0693216 -1117.95300112 73382.301544
30.0 30.0 80409.9127936 -6527.215728 -1123.8538636800001 73882.695392
40.0 40.0 80018.3318152 -6453.042194400001 -1126.03305824 73565.288784
50.0 50.0 79256.053876 -6877.1943576 -1138.7876056799998 72378.857008
60.0 60.0 80240.2043144 -6754.34626 -1134.80598576 73485.85972800001
70.0 70.0 80298.16652160001 -6502.0247008 -1117.39795168 73796.14098400001
80.0 80.0 79371.25571360001 -6745.6602760000005 -1134.3392187200002 72625.59167200001
90.0 90.0 79707.87483120001 -6264.6107336000005 -1115.07850944 73443.262424
100.0 100.0 79780.68521760001 -6553.1448128 -1142.6711108 73227.53956800001
110.0 110.0 79789.6084344 -6804.7496528 -1131.7924179200002 72984.8592
120.0 120.0 80065.0147952 -6630.424548 -1138.63158432 73434.59317600001
130.0 130.0 80071.2845192 -6748.7735904 -1132.64273224 73322.512184
140.0 140.0 79520.15004800001 -6624.0464584 -1124.4744764000002 72896.099824
150.0 150.0 79216.63264640002 -6775.9683352 -1136.03532864 72440.663056
160.0 160.0 79339.1267776 -6739.9026736 -1131.6707472 72599.22410400001
170.0 170.0 79993.5667192 -6644.514168000001 -1136.4406327200002 73349.05548000001
180.0 180.0 79783.2885024 -6753.5270328 -1138.41397448 73029.761888
190.0 190.0 79813.99738880001 -6429.6745544000005 -1129.15746024 73384.32241600001
200.0 200.0 79455.7758608 -6189.6384744 -1114.4308262400002 73266.13696799999
210.0 210.0 80744.41020479999 -6313.773570400001 -1125.0456760800002 74430.636216
220.0 220.0 80206.60302880002 -6744.8724288 -1133.2134298400001 73461.73060000001
230.0 230.0 79711.0341696 -6340.5905 -1119.6496131200001 73370.444088
240.0 240.0 80485.4842016 -6999.0592152 -1130.37692888 73486.424568
250.0 250.0 80090.25393840001 -6673.6214192 -1138.52439024 73416.631264
260.0 260.0 79972.8739104 -6729.1389152 -1134.39009616 73243.73583199999
270.0 270.0 79461.8414056 -6447.441492 -1130.60190256 73014.39824000001
280.0 280.0 78645.9969696 -6172.4803088 -1115.7341840800002 72473.515824
290.0 290.0 79482.740904 -6762.0239 -1130.72047712 72720.71491200001
300.0 300.0 80079.3818144 -6402.060154400001 -1134.01257384 73677.323752
310.0 310.0 80470.5138496 -6449.2887279999995 -1135.36944504 74021.223448
320.0 320.0 78680.9245832 -6735.7542376 -1134.0859193600002 71945.168672
330.0 330.0 80349.85607600001 -6681.456796 -1135.75416384 73668.39928
340.0 340.0 79699.71979680001 -7059.18204 -1156.39730856 72640.53692000001
350.0 350.0 79812.42964400002 -6477.1236248000005 -1131.20950304 73335.30685600001
360.0 360.0 80326.5934544 -6531.849508 -1134.1542022400001 73794.74352799999
370.0 370.0 79396.8479864 -6762.1481648 -1133.5707434400001 72634.70024
380.0 380.0 79436.74368160001 -6685.548748 -1142.47015328 72751.19535200001
390.0 390.0 79050.652948 -6345.683264800001 -1120.80171936 72704.97052
400.0 400.0 79505.79558080001 -6439.6429344 -1133.46559952 73066.150136
410.0 410.0 79170.85550240001 -6368.1538552 -1138.95797816 72802.700392
420.0 420.0 79063.1622712 -6946.724488000001 -1145.05929616 72116.43652799999
430.0 430.0 78666.011552 -6941.7233528 -1134.45553392 71724.291128
440.0 440.0 80198.46222000002 -6781.075744 -1134.1831555200001 73417.388568
450.0 450.0 78941.44887440001 -6698.8693488 -1134.12328248 72242.579944
460.0 460.0 80084.6352448 -6193.012033600001 -1128.94930624 73891.62404800001
470.0 470.0 79228.87210159999 -6793.400552800001 -1142.7867984000002 72435.470712
480.0 480.0 79949.1970728 -6776.3746016000005 -1138.0149464 73172.8254
490.0 490.0 79371.804236 -6820.376892800001 -1133.56492768 72551.430272
500.0 500.0 79562.172052 -6657.7791216000005 -1135.7116962400003 72904.392512
510.0 510.0 80062.2236488 -6380.5928872 -1135.69420712 73681.629088
520.0 520.0 80008.7299536 -6017.951381600001 -1110.84618424 73990.77648000001
530.0 530.0 79689.997436 -6720.4073256 -1140.2628840799998 72969.58760000001
540.0 540.0 80210.28494880002 -6275.9694568 -1131.1492116000002 73934.317584
550.0 550.0 80492.2078896 -6731.2459776 -1135.31325392 73760.96191200001
560.0 560.0 79619.5736032 -6593.1087072 -1120.71611472 73026.464896
570.0 570.0 79412.6396576 -6853.827136000001 -1138.0411800800002 72558.81503200001
580.0 580.0 80268.6371048 -6606.4682192 -1136.117084 73662.16930400001
590.0 590.0 79954.2488344 -6313.7923984 -1129.9438012 73640.45434400001
600.0 600.0 79628.22193120001 -6323.3779424 -1124.1686260000001 73304.843152
610.0 610.0 79132.95055440001 -6426.2198256 -1124.19389736 72706.72780000001
620.0 620.0 79067.22828240001 -6075.0809728 -1115.58565208 72992.14772800001
630.0 630.0 79425.0887312 -6246.4412952 -1121.9616915200002 73178.649528
640.0 640.0 80024.6069784 -6651.8127376 -1139.8224344 73372.795496
650.0 650.0 79265.60301919999 -6843.8052007999995 -1130.0385688 72421.7974
660.0 660.0 80141.271124 -7178.390057600001 -1150.24553152 72962.88064799999
670.0 670.0 79206.67556320001 -6600.1516344 -1130.4551696800002 72606.525184
680.0 680.0 79375.82003920001 -6523.957228800001 -1137.9465380000001 72851.862392
690.0 690.0 79201.25602799999 -6562.6424928 -1122.8431348000001 72638.61228
