# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
      72            71              0.1965967074E+02  0.1938661975E+02   0.1395836622E+04   6477900
      73            72              0.1968570586E+02  0.1941603865E+02   0.1417370822E+04   6462800
      74            73              0.1971098362E+02  0.1944461897E+02   0.1438901804E+04   6447700
      75            74              0.1973557932E+02  0.1947243826E+02   0.1460432870E+04   6432600
      76            75              0.1975950198E+02  0.1949950853E+02   0.1481962648E+04   6417500
      77            76              0.1978280805E+02  0.1952588847E+02   0.1503493412E+04   6402400
      78            77              0.1980548434E+02  0.1955156788E+02   0.1525022295E+04   6387300
      79            78              0.1982758988E+02  0.1957660773E+02   0.1546552010E+04   6372200
      80            79              0.1984910067E+02  0.1960098691E+02   0.1568078953E+04   6357100
      81            80              0.1987003253E+02  0.1962472349E+02   0.1589602602E+04   6342000
      82            81              0.1989043553E+02  0.1964786924E+02   0.1611125278E+04   6326900
      83            82              0.1991028670E+02  0.1967040373E+02   0.1632643509E+04   6311800
      84            83              0.1992962479E+02  0.1969236736E+02   0.1654158858E+04   6296700
      85            84              0.1994843087E+02  0.1971374345E+02   0.1675668193E+04   6281600
      86            85              0.1996675993E+02  0.1973458830E+02   0.1697174594E+04   6266500
      87            86              0.1998458194E+02  0.1975487410E+02   0.1718674047E+04   6251400
      88            87              0.2000195796E+02  0.1977466298E+02   0.1740170342E+04   6236300
      89            88              0.2001888600E+02  0.1979395470E+02   0.1761661968E+04   6221200
      90            89              0.2003537117E+02  0.1981275594E+02   0.1783148034E+04   6206100
      91            90              0.2005141991E+02  0.1983107463E+02   0.1804627791E+04   6191000
      92            91              0.2006703339E+02  0.1984891346E+02   0.1826100038E+04   6175900
      93            92              0.2008222635E+02  0.1986628843E+02   0.1847564824E+04   6160800
      94            93              0.2009700213E+02  0.1988320424E+02   0.1869021198E+04   6145700
      95            94              0.2011140304E+02  0.1989970406E+02   0.1890471886E+04   6130600
      96            95              0.2012541435E+02  0.1991577462E+02   0.1911914363E+04   6115500
      97            96              0.2013904451E+02  0.1993142549E+02   0.1933348273E+04   6100400
      98            97              0.2015231957E+02  0.1994668365E+02   0.1954774998E+04   6085300
      99            98              0.2016522958E+02  0.1996154039E+02   0.1976192499E+04   6070200
     100            99              0.2017779607E+02  0.1997601811E+02   0.1997601811E+04   6055100
     101           100              0.2019002491E+02  0.1999012367E+02   0.2019002491E+04   6040000
     102           101              0.2020191075E+02  0.2000385280E+02   0.2040392986E+04   6024900
     103           102              0.2021348354E+02  0.2001723613E+02   0.2061775321E+04   6009800
     104           103              0.2022472604E+02  0.2003025752E+02   0.2083146782E+04   5994700
     105           104              0.2023567174E+02  0.2004295106E+02   0.2104509861E+04   5979600
     106           105              0.2024632276E+02  0.2005531971E+02   0.2125863890E+04   5964500
     107           106              0.2025672842E+02  0.2006741320E+02   0.2147213212E+04   5949400
     108           107              0.2026688218E+02  0.2007922587E+02   0.2168556394E+04   5934300
     109           108              0.2027680506E+02  0.2009077932E+02   0.2189894946E+04   5919200
     110           109              0.2028652486E+02  0.2010210190E+02   0.2211231209E+04   5904100
     111           110              0.2029603805E+02  0.2011319086E+02   0.2232564186E+04   5889000
     112           111              0.2030533830E+02  0.2012404063E+02   0.2253892551E+04   5873900
     113           112              0.2031443387E+02  0.2013466012E+02   0.2275216594E+04   5858800
     114           113              0.2032331633E+02  0.2014504162E+02   0.2296534745E+04   5843700
     115           114              0.2033198446E+02  0.2015518460E+02   0.2317846228E+04   5828600
     116           115              0.2034047267E+02  0.2016512376E+02   0.2339154357E+04   5813500
     117           116              0.2034877863E+02  0.2017485744E+02   0.2360458321E+04   5798400
     118           117              0.2035688424E+02  0.2018436827E+02   0.2381755456E+04   5783300
     119           118              0.2036480025E+02  0.2019366747E+02   0.2403046429E+04   5768200
     120           119              0.2037254240E+02  0.2020277121E+02   0.2424332545E+04   5753100
     121           120              0.2038010642E+02  0.2021167579E+02   0.2445612770E+04   5738000
     122           121              0.2038749156E+02  0.2022038097E+02   0.2466886479E+04   5722900
     123           122              0.2039470635E+02  0.2022889572E+02   0.2488154174E+04   5707800
     124           123              0.2040180008E+02  0.2023726943E+02   0.2509421410E+04   5692700
     125           124              0.2040873210E+02  0.2024546224E+02   0.2530682780E+04   5677600
     126           125              0.2041554520E+02  0.2025351706E+02   0.2551943150E+04   5662500
     127           126              0.2042222744E+02  0.2026142250E+02   0.2573200658E+04   5647400
     128           127              0.2042879218E+02  0.2026919225E+02   0.2594456607E+04   5632300
     129           128              0.2043522668E+02  0.2027681407E+02   0.2615709015E+04   5617200
     130           129              0.2044154197E+02  0.2028429934E+02   0.2636958915E+04   5602100
     131           130              0.2044771231E+02  0.2029162290E+02   0.2658202600E+04   5587000
     132           131              0.2045378749E+02  0.2029883456E+02   0.2679446161E+04   5571900
     133           132              0.2045974200E+02  0.2030590935E+02   0.2700685944E+04   5556800
     134           133              0.2046560994E+02  0.2031288151E+02   0.2721926123E+04   5541700
     135           134              0.2047140293E+02  0.2031976291E+02   0.2743167992E+04   5526600
     136           135              0.2047710154E+02  0.2032653461E+02   0.2764408707E+04   5511500
     137           136              0.2048273503E+02  0.2033322601E+02   0.2785651964E+04   5496400
     138           137              0.2048826657E+02  0.2033980087E+02   0.2806892520E+04   5481300
     139           138              0.2049372578E+02  0.2034628890E+02   0.2828134158E+04   5466200
     140           139              0.2049909055E+02  0.2035266847E+02   0.2849373586E+04   5451100
     141           140              0.2050438407E+02  0.2035896291E+02   0.2870613770E+04   5436000
     142           141              0.2050957928E+02  0.2036514563E+02   0.2891850679E+04   5420900
     143           142              0.2051471331E+02  0.2037125377E+02   0.2913089290E+04   5405800
     144           143              0.2051976915E+02  0.2037727075E+02   0.2934326988E+04   5390700
     145           144              0.2052476152E+02  0.2038321144E+02   0.2955565658E+04   5375600
     146           145              0.2052967560E+02  0.2038906138E+02   0.2976802962E+04   5360500
     147           146              0.2053450416E+02  0.2039481365E+02   0.2998037607E+04   5345400
     148           147              0.2053925301E+02  0.2040047428E+02   0.3019270193E+04   5330300
     149           148              0.2054394278E+02  0.2040606397E+02   0.3040503532E+04   5315200
     150           149              0.2054855528E+02  0.2041156491E+02   0.3061734737E+04   5300100
     151           150              0.2055310712E+02  0.2041699383E+02   0.3082966068E+04   5285000
     152           151              0.2055757019E+02  0.2042232302E+02   0.3104193099E+04   5269900
     153           152              0.2056195978E+02  0.2042756788E+02   0.3125417886E+04   5254800
     154           153              0.2056624354E+02  0.2043269651E+02   0.3146635262E+04   5239700
     155           154              0.2057045915E+02  0.2043774651E+02   0.3167850709E+04   5224600
     156           155              0.2057460067E+02  0.2044271221E+02   0.3189063104E+04   5209500
     157           156              0.2057866883E+02  0.2044759450E+02   0.3210272337E+04   5194400
     158           157              0.2058267757E+02  0.2045240746E+02   0.3231480379E+04   5179300
     159           158              0.2058658555E+02  0.2045711017E+02   0.3252680517E+04   5164200
     160           159              0.2059045378E+02  0.2046176344E+02   0.3273882151E+04   5149100
     161           160              0.2059423369E+02  0.2046631920E+02   0.3295077391E+04   5134000
     162           161              0.2059797865E+02  0.2047083063E+02   0.3316274563E+04   5118900
     163           162              0.2060169094E+02  0.2047530019E+02   0.3337473932E+04   5103800
