#    dump      timestep(ps) <rg2>          <rgx2>      <rgy2>      <rgz2>
#    ----      ----         -----          -------     -------     -------
           1         0.00    0.123659E+04    0.495871E+03 0.385693E+03 0.355022E+03
           2         0.00    0.149036E+04    0.599557E+03 0.458727E+03 0.432079E+03
           3         0.00    0.162498E+04    0.644836E+03 0.546172E+03 0.433968E+03
           4         0.00    0.164669E+04    0.603393E+03 0.545912E+03 0.497381E+03
           5         0.00    0.163421E+04    0.622400E+03 0.521540E+03 0.490269E+03
           6         0.00    0.164732E+04    0.624219E+03 0.543236E+03 0.479862E+03
           7         0.00    0.160909E+04    0.586428E+03 0.528646E+03 0.494014E+03
           8         0.00    0.160256E+04    0.555064E+03 0.545511E+03 0.501982E+03
           9         0.00    0.162779E+04    0.581177E+03 0.557547E+03 0.489062E+03
          10         0.00    0.160552E+04    0.593615E+03 0.501401E+03 0.510506E+03
          11         0.00    0.159682E+04    0.609129E+03 0.508802E+03 0.478893E+03
          12         0.00    0.163311E+04    0.602924E+03 0.510983E+03 0.519206E+03
          13         0.00    0.161162E+04    0.619175E+03 0.466103E+03 0.526340E+03
          14         0.00    0.156107E+04    0.525654E+03 0.497633E+03 0.537781E+03
          15         0.00    0.164677E+04    0.556753E+03 0.544692E+03 0.545323E+03
          16         0.00    0.166471E+04    0.603611E+03 0.522119E+03 0.538977E+03
          17         0.00    0.172766E+04    0.630472E+03 0.571794E+03 0.525398E+03
          18         0.00    0.168934E+04    0.619039E+03 0.538153E+03 0.532147E+03
          19         0.00    0.173112E+04    0.629556E+03 0.557976E+03 0.543591E+03
          20         0.00    0.171270E+04    0.586818E+03 0.592682E+03 0.533204E+03
          21         0.00    0.171252E+04    0.579855E+03 0.600566E+03 0.532101E+03
          22         0.00    0.179642E+04    0.591076E+03 0.623603E+03 0.581741E+03
          23         0.00    0.175388E+04    0.570713E+03 0.571478E+03 0.611686E+03
          24         0.00    0.183651E+04    0.567217E+03 0.641345E+03 0.627943E+03
          25         0.00    0.175401E+04    0.558373E+03 0.630308E+03 0.565333E+03
          26         0.00    0.172824E+04    0.542303E+03 0.634517E+03 0.551425E+03
          27         0.00    0.173271E+04    0.557183E+03 0.627444E+03 0.548084E+03
          28         0.00    0.181794E+04    0.595510E+03 0.651668E+03 0.570759E+03
          29         0.00    0.180944E+04    0.600626E+03 0.631844E+03 0.576971E+03
          30         0.00    0.187676E+04    0.608298E+03 0.637950E+03 0.630512E+03
          31         0.00    0.181693E+04    0.543048E+03 0.689222E+03 0.584657E+03
          32         0.00    0.177532E+04    0.557138E+03 0.622737E+03 0.595447E+03
          33         0.00    0.172605E+04    0.538275E+03 0.628407E+03 0.559373E+03
          34         0.00    0.169281E+04    0.503184E+03 0.611013E+03 0.578608E+03
          35         0.00    0.175853E+04    0.561416E+03 0.590444E+03 0.606670E+03
          36         0.00    0.169307E+04    0.511963E+03 0.595456E+03 0.585656E+03
          37         0.00    0.169599E+04    0.515575E+03 0.608190E+03 0.572223E+03
          38         0.00    0.166158E+04    0.481904E+03 0.636751E+03 0.542929E+03
          39         0.00    0.171017E+04    0.488274E+03 0.634824E+03 0.587076E+03
          40         0.00    0.166019E+04    0.481275E+03 0.586514E+03 0.592401E+03
          41         0.00    0.167600E+04    0.491683E+03 0.588313E+03 0.596003E+03
          42         0.00    0.169029E+04    0.497573E+03 0.606395E+03 0.586319E+03
          43         0.00    0.176656E+04    0.503658E+03 0.646742E+03 0.616155E+03
          44         0.00    0.173020E+04    0.476609E+03 0.640206E+03 0.613381E+03
          45         0.00    0.177015E+04    0.514402E+03 0.636193E+03 0.619559E+03
          46         0.00    0.176662E+04    0.491668E+03 0.673746E+03 0.601210E+03
          47         0.00    0.176485E+04    0.518590E+03 0.650713E+03 0.595542E+03
          48         0.00    0.174516E+04    0.526557E+03 0.641032E+03 0.577574E+03
          49         0.00    0.164981E+04    0.479943E+03 0.595820E+03 0.574046E+03
          50         0.00    0.162577E+04    0.512521E+03 0.525797E+03 0.587451E+03
