#      log(m)       log(<Ree2>/m)      log(<Ree2>/n)             Ree(ilength)              Count
# -------------  ----------------      -------------            -------------       ------------       -----
    0.3010299957E+00          0.0000000000E+00    0.3752889848E+00    0.7425898917E-01    0.2372952172E+01      7534900           0.2371599883E+01
    0.4771212547E+00          0.3010299957E+00    0.5218085866E+00    0.3457173275E+00    0.6650259346E+01      7519800           0.4743199765E+01
    0.6020599913E+00          0.4771212547E+00    0.6596231779E+00    0.5346844412E+00    0.1370075287E+02      7504700           0.7114799648E+01
    0.6989700043E+00          0.6020599913E+00    0.7515332557E+00    0.6546232427E+00    0.2257320611E+02      7489600           0.9486399530E+01
    0.7781512504E+00          0.6989700043E+00    0.8238723143E+00    0.7446910683E+00    0.3333053760E+02      7474500           0.1185799941E+02
    0.8450980400E+00          0.7781512504E+00    0.8802298516E+00    0.8132830620E+00    0.4553874964E+02      7459400           0.1422959930E+02
    0.9030899870E+00          0.8450980400E+00    0.9265039468E+00    0.8685119998E+00    0.5910197404E+02      7444300           0.1660119918E+02
    0.9542425094E+00          0.9030899870E+00    0.9648312994E+00    0.9136787769E+00    0.7377705009E+02      7429200           0.1897279906E+02
    0.1000000000E+01          0.9542425094E+00    0.9973196051E+00    0.9515621145E+00    0.8944624524E+02      7414100           0.2134439894E+02
    0.1041392685E+01          0.1000000000E+01    0.1025117086E+01    0.9837244004E+00    0.1059539338E+03      7399000           0.2371599883E+02
    0.1079181246E+01          0.1041392685E+01    0.1049206426E+01    0.1011417865E+01    0.1231967104E+03      7383900           0.2608759871E+02
    0.1113943352E+01          0.1079181246E+01    0.1070239982E+01    0.1035477876E+01    0.1410656350E+03      7368800           0.2845919859E+02
    0.1146128036E+01          0.1113943352E+01    0.1088760561E+01    0.1056575878E+01    0.1594791505E+03      7353700           0.3083079847E+02
    0.1176091259E+01          0.1146128036E+01    0.1105162670E+01    0.1075199446E+01    0.1783572245E+03      7338600           0.3320239836E+02
    0.1204119983E+01          0.1176091259E+01    0.1119781694E+01    0.1091752971E+01    0.1976391390E+03      7323500           0.3557399824E+02
    0.1230448921E+01          0.1204119983E+01    0.1132871473E+01    0.1106542534E+01    0.2172658432E+03      7308400           0.3794559812E+02
