#    dump      timestep(ps) <rg2>          <ree2>  <ree2>/<rg2>      Cn=<Ree2>/n*l2      Lp=(l*(Cn+1)/2)     Cn2=6*<Rg2>/n*      Lp2=(l*(Cn2+1)/
          79         0.00    0.175362E+04    0.104947E+05    5.985      8.868   7.598   8.891   7.616
          80         0.00    0.175465E+04    0.108183E+05    6.166      9.141   7.809   8.896   7.620
          81         0.00    0.186652E+04    0.128129E+05    6.865     10.827   9.107   9.463   8.057
          82         0.00    0.175251E+04    0.109173E+05    6.230      9.225   7.873   8.885   7.612
          83         0.00    0.173535E+04    0.107441E+05    6.191      9.079   7.761   8.798   7.545
          84         0.00    0.174408E+04    0.105366E+05    6.041      8.903   7.626   8.843   7.579
          85         0.00    0.168379E+04    0.981701E+04    5.830      8.295   7.157   8.537   7.343
          86         0.00    0.171353E+04    0.967728E+04    5.648      8.177   7.067   8.688   7.459
          87         0.00    0.177185E+04    0.104181E+05    5.880      8.803   7.549   8.983   7.687
          88         0.00    0.177302E+04    0.106781E+05    6.023      9.023   7.718   8.989   7.692
          89         0.00    0.176762E+04    0.111255E+05    6.294      9.401   8.009   8.962   7.671
          90         0.00    0.174478E+04    0.103258E+05    5.918      8.725   7.488   8.846   7.581
          91         0.00    0.168976E+04    0.930228E+04    5.505      7.860   6.823   8.567   7.367
          92         0.00    0.167477E+04    0.979101E+04    5.846      8.273   7.141   8.491   7.308
          93         0.00    0.166191E+04    0.917209E+04    5.519      7.750   6.738   8.426   7.258
          94         0.00    0.166027E+04    0.967108E+04    5.825      8.172   7.063   8.418   7.252
          95         0.00    0.179628E+04    0.115041E+05    6.404      9.721   8.255   9.107   7.783
          96         0.00    0.171973E+04    0.105067E+05    6.109      8.878   7.606   8.719   7.484
          97         0.00    0.164398E+04    0.109418E+05    6.656      9.246   7.889   8.335   7.188
          98         0.00    0.167801E+04    0.100301E+05    5.977      8.475   7.296   8.508   7.321
          99         0.00    0.165993E+04    0.100863E+05    6.076      8.523   7.333   8.416   7.250
         100         0.00    0.164109E+04    0.105520E+05    6.430      8.917   7.636   8.320   7.177
         101         0.00    0.172943E+04    0.107282E+05    6.203      9.065   7.750   8.768   7.522
         102         0.00    0.169705E+04    0.940332E+04    5.541      7.946   6.888   8.604   7.395
         103         0.00    0.157965E+04    0.933979E+04    5.913      7.892   6.847   8.009   6.937
         104         0.00    0.168809E+04    0.107131E+05    6.346      9.053   7.741   8.559   7.360
         105         0.00    0.171532E+04    0.106381E+05    6.202      8.989   7.692   8.697   7.466
         106         0.00    0.177355E+04    0.111021E+05    6.260      9.381   7.994   8.992   7.694
         107         0.00    0.173433E+04    0.104120E+05    6.004      8.798   7.545   8.793   7.541
         108         0.00    0.170994E+04    0.104231E+05    6.096      8.808   7.552   8.669   7.445
         109         0.00    0.184574E+04    0.122328E+05    6.628     10.337   8.729   9.358   7.976
         110         0.00    0.184622E+04    0.115711E+05    6.267      9.778   8.299   9.360   7.977
         111         0.00    0.179056E+04    0.107660E+05    6.013      9.097   7.775   9.078   7.760
         112         0.00    0.177167E+04    0.110326E+05    6.227      9.323   7.948   8.982   7.686
         113         0.00    0.173697E+04    0.108571E+05    6.251      9.174   7.834   8.806   7.551
         114         0.00    0.164832E+04    0.924625E+04    5.610      7.813   6.786   8.357   7.205
         115         0.00    0.169451E+04    0.108076E+05    6.378      9.132   7.802   8.591   7.385
         116         0.00    0.170854E+04    0.106769E+05    6.249      9.022   7.717   8.662   7.440
         117         0.00    0.175696E+04    0.113598E+05    6.466      9.599   8.161   8.908   7.629
         118         0.00    0.187860E+04    0.122453E+05    6.518     10.347   8.737   9.525   8.104
         119         0.00    0.177841E+04    0.115720E+05    6.507      9.778   8.299   9.017   7.713
         120         0.00    0.183722E+04    0.121077E+05    6.590     10.231   8.648   9.315   7.942
         121         0.00    0.173738E+04    0.993869E+04    5.721      8.398   7.237   8.809   7.553
         122         0.00    0.164602E+04    0.874306E+04    5.312      7.388   6.459   8.345   7.196
         123         0.00    0.165774E+04    0.103500E+05    6.243      8.746   7.504   8.405   7.242
         124         0.00    0.171288E+04    0.105750E+05    6.174      8.936   7.651   8.684   7.457
         125         0.00    0.178144E+04    0.117370E+05    6.588      9.918   8.407   9.032   7.725
         126         0.00    0.178975E+04    0.112628E+05    6.293      9.517   8.098   9.074   7.757
         127         0.00    0.186233E+04    0.125633E+05    6.746     10.616   8.944   9.442   8.040
         128         0.00    0.181836E+04    0.119043E+05    6.547     10.059   8.516   9.219   7.869
         129         0.00    0.168445E+04    0.104311E+05    6.193      8.814   7.557   8.540   7.346
         130         0.00    0.170562E+04    0.103787E+05    6.085      8.770   7.523   8.648   7.429
         131         0.00    0.180619E+04    0.110285E+05    6.106      9.319   7.946   9.157   7.821
         132         0.00    0.184226E+04    0.106397E+05    5.775      8.991   7.693   9.340   7.962
         133         0.00    0.181061E+04    0.110551E+05    6.106      9.342   7.963   9.180   7.838
         134         0.00    0.178581E+04    0.110117E+05    6.166      9.305   7.935   9.054   7.742
         135         0.00    0.181084E+04    0.105511E+05    5.827      8.916   7.635   9.181   7.839
         136         0.00    0.180747E+04    0.111916E+05    6.192      9.457   8.052   9.164   7.826
         137         0.00    0.183241E+04    0.115191E+05    6.286      9.734   8.265   9.290   7.924
         138         0.00    0.183044E+04    0.118750E+05    6.488     10.034   8.496   9.280   7.916
         139         0.00    0.181437E+04    0.113037E+05    6.230      9.552   8.125   9.199   7.853
         140         0.00    0.178109E+04    0.103611E+05    5.817      8.755   7.511   9.030   7.723
         141         0.00    0.177339E+04    0.110240E+05    6.216      9.315   7.943   8.991   7.693
         142         0.00    0.179198E+04    0.111729E+05    6.235      9.441   8.040   9.085   7.766
         143         0.00    0.176241E+04    0.106292E+05    6.031      8.982   7.686   8.935   7.650
         144         0.00    0.165470E+04    0.966547E+04    5.841      8.167   7.059   8.389   7.230
         145         0.00    0.172815E+04    0.101219E+05    5.857      8.553   7.356   8.762   7.517
         146         0.00    0.173931E+04    0.112586E+05    6.473      9.514   8.095   8.818   7.560
         147         0.00    0.172832E+04    0.109638E+05    6.344      9.264   7.904   8.763   7.517
         148         0.00    0.180319E+04    0.115351E+05    6.397      9.747   8.275   9.142   7.809
         149         0.00    0.175639E+04    0.106240E+05    6.049      8.977   7.683   8.905   7.627
         150         0.00    0.174658E+04    0.103838E+05    5.945      8.774   7.526   8.855   7.589
         151         0.00    0.180076E+04    0.112111E+05    6.226      9.473   8.065   9.130   7.800
           2         0.00    0.149036E+04    0.894340E+04    6.001      7.557   6.589   7.556   6.588
           3         0.00    0.162498E+04    0.948301E+04    5.836      8.013   6.940   8.239   7.114
           4         0.00    0.164669E+04    0.964154E+04    5.855      8.147   7.043   8.349   7.199
           5         0.00    0.163421E+04    0.983410E+04    6.018      8.310   7.169   8.285   7.150
           6         0.00    0.164732E+04    0.971213E+04    5.896      8.207   7.089   8.352   7.201
           7         0.00    0.160909E+04    0.102331E+05    6.360      8.647   7.428   8.158   7.052
           8         0.00    0.160256E+04    0.973840E+04    6.077      8.229   7.106   8.125   7.026
           9         0.00    0.162779E+04    0.101598E+05    6.241      8.585   7.380   8.253   7.125
          10         0.00    0.160552E+04    0.101882E+05    6.346      8.609   7.399   8.140   7.038
