# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
      72            71              0.1968592245E+02  0.1941250686E+02   0.1397700494E+04   6435000
      73            72              0.1971216200E+02  0.1944213238E+02   0.1419275664E+04   6420000
      74            73              0.1973763795E+02  0.1947091311E+02   0.1440847570E+04   6405000
      75            74              0.1976242626E+02  0.1949892725E+02   0.1462419543E+04   6390000
      76            75              0.1978653357E+02  0.1952618445E+02   0.1483990018E+04   6375000
      77            76              0.1981001641E+02  0.1955274347E+02   0.1505561247E+04   6360000
      78            77              0.1983286582E+02  0.1957859831E+02   0.1527130668E+04   6345000
      79            78              0.1985513712E+02  0.1960380627E+02   0.1548700695E+04   6330000
      80            79              0.1987680804E+02  0.1962834794E+02   0.1570267835E+04   6315000
      81            80              0.1989789343E+02  0.1965224043E+02   0.1591831474E+04   6300000
      82            81              0.1991844766E+02  0.1967553976E+02   0.1613394260E+04   6285000
      83            82              0.1993844906E+02  0.1969822678E+02   0.1634952823E+04   6270000
      84            83              0.1995793481E+02  0.1972034035E+02   0.1656508589E+04   6255000
      85            84              0.1997688278E+02  0.1974186063E+02   0.1678058153E+04   6240000
      86            85              0.1999534941E+02  0.1976284535E+02   0.1699604700E+04   6225000
      87            86              0.2001330496E+02  0.1978326698E+02   0.1721144227E+04   6210000
      88            87              0.2003081362E+02  0.1980319074E+02   0.1742680785E+04   6195000
      89            88              0.2004787071E+02  0.1982261373E+02   0.1764212622E+04   6180000
      90            89              0.2006448574E+02  0.1984154701E+02   0.1785739231E+04   6165000
      91            90              0.2008066381E+02  0.1985999717E+02   0.1807259743E+04   6150000
      92            91              0.2009640644E+02  0.1987796723E+02   0.1828772986E+04   6135000
      93            92              0.2011172831E+02  0.1989547316E+02   0.1850279004E+04   6120000
      94            93              0.2012663073E+02  0.1991251763E+02   0.1871776658E+04   6105000
      95            94              0.2014115854E+02  0.1992914634E+02   0.1893268902E+04   6090000
      96            95              0.2015529596E+02  0.1994534497E+02   0.1914753117E+04   6075000
      97            96              0.2016905100E+02  0.1996112264E+02   0.1936228896E+04   6060000
      98            97              0.2018245059E+02  0.1997650722E+02   0.1957697708E+04   6045000
      99            98              0.2019548754E+02  0.1999149272E+02   0.1979157779E+04   6030000
     100            99              0.2020818014E+02  0.2000609834E+02   0.2000609834E+04   6015000
     101           100              0.2022053635E+02  0.2002033302E+02   0.2022053635E+04   6000000
     102           101              0.2023255014E+02  0.2003419180E+02   0.2043487564E+04   5985000
     103           102              0.2024425428E+02  0.2004770812E+02   0.2064913936E+04   5970000
     104           103              0.2025562881E+02  0.2006086315E+02   0.2086329767E+04   5955000
     105           104              0.2026670725E+02  0.2007369099E+02   0.2107737554E+04   5940000
     106           105              0.2027749130E+02  0.2008619422E+02   0.2129136587E+04   5925000
     107           106              0.2028803177E+02  0.2009842400E+02   0.2150531368E+04   5910000
     108           107              0.2029832185E+02  0.2011037443E+02   0.2171920438E+04   5895000
     109           108              0.2030838199E+02  0.2012206656E+02   0.2193305255E+04   5880000
     110           109              0.2031824134E+02  0.2013353005E+02   0.2214688306E+04   5865000
     111           110              0.2032789476E+02  0.2014476057E+02   0.2236068423E+04   5850000
     112           111              0.2033733316E+02  0.2015574983E+02   0.2257443981E+04   5835000
     113           112              0.2034656747E+02  0.2016650935E+02   0.2278815557E+04   5820000
     114           113              0.2035558766E+02  0.2017702987E+02   0.2300181406E+04   5805000
     115           114              0.2036439192E+02  0.2018731025E+02   0.2321540678E+04   5790000
     116           115              0.2037301507E+02  0.2019738563E+02   0.2342896733E+04   5775000
     117           116              0.2038145601E+02  0.2020725553E+02   0.2364248897E+04   5760000
     118           117              0.2038969534E+02  0.2021690131E+02   0.2385594355E+04   5745000
     119           118              0.2039774630E+02  0.2022633667E+02   0.2406934063E+04   5730000
     120           119              0.2040562259E+02  0.2023557573E+02   0.2428269088E+04   5715000
     121           120              0.2041332242E+02  0.2024461727E+02   0.2449598690E+04   5700000
     122           121              0.2042084173E+02  0.2025345779E+02   0.2470921850E+04   5685000
     123           122              0.2042819154E+02  0.2026210868E+02   0.2492239368E+04   5670000
     124           123              0.2043541973E+02  0.2027061796E+02   0.2513556627E+04   5655000
     125           124              0.2044248525E+02  0.2027894537E+02   0.2534868171E+04   5640000
     126           125              0.2044943131E+02  0.2028713424E+02   0.2556178914E+04   5625000
     127           126              0.2045624722E+02  0.2029517441E+02   0.2577487150E+04   5610000
     128           127              0.2046294723E+02  0.2030308046E+02   0.2598794299E+04   5595000
     129           128              0.2046951540E+02  0.2031083698E+02   0.2620097971E+04   5580000
     130           129              0.2047596437E+02  0.2031845695E+02   0.2641399403E+04   5565000
     131           130              0.2048227017E+02  0.2032591697E+02   0.2662695122E+04   5550000
     132           131              0.2048847997E+02  0.2033326421E+02   0.2683990876E+04   5535000
     133           132              0.2049457195E+02  0.2034047743E+02   0.2705283498E+04   5520000
     134           133              0.2050057711E+02  0.2034758773E+02   0.2726576755E+04   5505000
     135           134              0.2050650846E+02  0.2035460839E+02   0.2747872133E+04   5490000
     136           135              0.2051234579E+02  0.2036151972E+02   0.2769166681E+04   5475000
     137           136              0.2051811503E+02  0.2036834776E+02   0.2790463644E+04   5460000
     138           137              0.2052378228E+02  0.2037505922E+02   0.2811758172E+04   5445000
     139           138              0.2052937530E+02  0.2038168195E+02   0.2833053791E+04   5430000
     140           139              0.2053487302E+02  0.2038819536E+02   0.2854347350E+04   5415000
     141           140              0.2054029656E+02  0.2039462070E+02   0.2875641519E+04   5400000
     142           141              0.2054562155E+02  0.2040093407E+02   0.2896932638E+04   5385000
     143           142              0.2055088519E+02  0.2040717271E+02   0.2918225697E+04   5370000
     144           143              0.2055606983E+02  0.2041331935E+02   0.2939517986E+04   5355000
     145           144              0.2056119333E+02  0.2041939199E+02   0.2960811839E+04   5340000
     146           145              0.2056623628E+02  0.2042537165E+02   0.2982104260E+04   5325000
     147           146              0.2057119395E+02  0.2043125386E+02   0.3003394317E+04   5310000
     148           147              0.2057606698E+02  0.2043703950E+02   0.3024681847E+04   5295000
     149           148              0.2058088043E+02  0.2044275371E+02   0.3045970303E+04   5280000
     150           149              0.2058561336E+02  0.2044837594E+02   0.3067256391E+04   5265000
     151           150              0.2059028427E+02  0.2045392477E+02   0.3088542640E+04   5250000
     152           151              0.2059486241E+02  0.2045936989E+02   0.3109824224E+04   5235000
     153           152              0.2059936517E+02  0.2046472880E+02   0.3131103507E+04   5220000
     154           153              0.2060376031E+02  0.2046996966E+02   0.3152375327E+04   5205000
     155           154              0.2060808466E+02  0.2047512928E+02   0.3173645038E+04   5190000
     156           155              0.2061233325E+02  0.2048020291E+02   0.3194911654E+04   5175000
     157           156              0.2061650345E+02  0.2048518814E+02   0.3216174538E+04   5160000
     158           157              0.2062061296E+02  0.2049010275E+02   0.3237436234E+04   5145000
     159           158              0.2062462133E+02  0.2049490673E+02   0.3258690171E+04   5130000
     160           159              0.2062858767E+02  0.2049965899E+02   0.3279945439E+04   5115000
     161           160              0.2063246107E+02  0.2050430914E+02   0.3301193771E+04   5100000
     162           161              0.2063629700E+02  0.2050891245E+02   0.3322443817E+04   5085000
     163           162              0.2064009891E+02  0.2051347254E+02   0.3343696024E+04   5070000
     164           163              0.2064381896E+02  0.2051794202E+02   0.3364942491E+04   5055000
     165           164              0.2064749344E+02  0.2052235711E+02   0.3386188923E+04   5040000
     166           165              0.2065109259E+02  0.2052668841E+02   0.3407430277E+04   5025000
     167           166              0.2065465443E+02  0.2053097386E+02   0.3428672635E+04   5010000
     168           167              0.2065813037E+02  0.2053516531E+02   0.3449907772E+04   4995000
     169           168              0.2066152272E+02  0.2053926519E+02   0.3471135817E+04   4980000
     170           169              0.2066484486E+02  0.2054328695E+02   0.3492358782E+04   4965000
     171           170              0.2066809298E+02  0.2054722694E+02   0.3513575806E+04   4950000
     172           171              0.2067127354E+02  0.2055109172E+02   0.3534787775E+04   4935000
     173           172              0.2067440436E+02  0.2055489913E+02   0.3555997549E+04   4920000
     174           173              0.2067747514E+02  0.2055863907E+02   0.3577203199E+04   4905000
     175           174              0.2068051380E+02  0.2056233943E+02   0.3598409401E+04   4890000
     176           175              0.2068351226E+02  0.2056599231E+02   0.3619614646E+04   4875000
     177           176              0.2068644880E+02  0.2056957621E+02   0.3640814988E+04   4860000
     178           177              0.2068930112E+02  0.2057306909E+02   0.3662006298E+04   4845000
     179           178              0.2069211155E+02  0.2057651316E+02   0.3683195856E+04   4830000
     180           179              0.2069484414E+02  0.2057987278E+02   0.3704377101E+04   4815000
     181           180              0.2069751325E+02  0.2058316235E+02   0.3725552385E+04   4800000
     182           181              0.2070012941E+02  0.2058639243E+02   0.3746723423E+04   4785000
     183           182              0.2070268396E+02  0.2058955454E+02   0.3767888481E+04   4770000
     184           183              0.2070521825E+02  0.2059268989E+02   0.3789054940E+04   4755000
     185           184              0.2070772078E+02  0.2059578715E+02   0.3810220623E+04   4740000
     186           185              0.2071019723E+02  0.2059885209E+02   0.3831386488E+04   4725000
     187           186              0.2071269965E+02  0.2060193655E+02   0.3852562135E+04   4710000
     188           187              0.2071519480E+02  0.2060500760E+02   0.3873741428E+04   4695000
     189           188              0.2071769935E+02  0.2060808189E+02   0.3894927477E+04   4680000
     190           189              0.2072020858E+02  0.2061115485E+02   0.3916119421E+04   4665000
     191           190              0.2072270824E+02  0.2061421238E+02   0.3937314565E+04   4650000
     192           191              0.2072525344E+02  0.2061730941E+02   0.3958523406E+04   4635000
     193           192              0.2072778661E+02  0.2062038875E+02   0.3979735029E+04   4620000
     194           193              0.2073033849E+02  0.2062348107E+02   0.4000955328E+04   4605000
     195           194              0.2073286466E+02  0.2062654228E+02   0.4022175745E+04   4590000
     196           195              0.2073540562E+02  0.2062961274E+02   0.4043404097E+04   4575000
     197           196              0.2073794329E+02  0.2063267455E+02   0.4064636886E+04   4560000
     198           197              0.2074049284E+02  0.2063574288E+02   0.4085877090E+04   4545000
     199           198              0.2074307238E+02  0.2063883583E+02   0.4107128331E+04   4530000
     200           199              0.2074566932E+02  0.2064194098E+02   0.4128388195E+04   4515000
     201           200              0.2074828361E+02  0.2064505832E+02   0.4149656723E+04   4500000
     202           201              0.2075090346E+02  0.2064817622E+02   0.4170931596E+04   4485000
     203           202              0.2075352288E+02  0.2065128878E+02   0.4192211621E+04   4470000
     204           203              0.2075615803E+02  0.2065441215E+02   0.4213500079E+04   4455000
     205           204              0.2075880321E+02  0.2065754076E+02   0.4234795855E+04   4440000
     206           205              0.2076144443E+02  0.2066066072E+02   0.4256096108E+04   4425000
     207           206              0.2076411100E+02  0.2066380128E+02   0.4277406866E+04   4410000
